Scene,Figure,Ground,ground_lightsource,ground_container,support,ground_verticality,size_ratio,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container,location_control
compsvi12,table,pencil,0,0,0.0,1,376.9292,0.1234792,0.0,0.0,1.0,0.0,0.05768337,1.0,0.008086905,0,0,0.00123768495
compsvi12,table,cup,0,1,0.0,0,262.0539,0.02480259,0.0,0.0,1.0,0.0,0.02962918,1.0,0.01292914,0,0,0.01715861975
compsvi12,table,cube,0,0,0.0,0,2171.206,0.0598739,0.0,0.0,1.0,0.0,0.08116654,1.0,0.003911151,0,0,0.0117907803575
compsvi12,cube,pencil,0,0,0.02280801,1,0.1736036,0.03776265,0.0,0.0,0.75,0.02224966,0.1051408,0.05469501,0.1131333,0,0,0.5299796925
compsvi12,cube,cup,0,1,0.39654490000000003,0,0.1206951,0.0,0.5,0.0,0.0,0.47109229999999996,0.08055551,0.1425099,0.4710924,0,0,1.0
compsvi12,cube,table,0,0,0.9984947,0,0.0004605735,0.007746040999999999,0.25,1.0,0.0,0.0,0.08116654,0.003902804,1.0,0,0,0.84317495
compsvi13,table,pencil (1),0,0,0.0,1,384.3523,0.03329038,0.0,0.0,1.0,0.0,0.1851058,1.0,0.008307016,0,0,0.001461892375
compsvi13,table,pencil,0,0,0.0,0,1856.884,0.10488110000000002,0.0,0.0,0.8066038000000001,8.270531999999999e-06,0.10596610000000001,1.0,0.0064058909999999995,0,0,0.00028203908749999996
compsvi13,table,mug,0,1,0.0,0,336.5408,0.0216148,0.0,0.0,0.8066038000000001,5.267249000000002e-06,0.1914474,1.0,0.01505456,0,0,0.00029047809999999997
compsvi13,pencil (1),table,0,0,0.9696690999999998,0,0.00260178,0.01188529,0.0,1.0,0.0,0.0,0.1851058,0.008295019,1.0,0,0,0.91232335
compsvi13,pencil (1),pencil,0,0,0.0,0,4.8312040000000005,0.1129652,0.0,0.5909091,0.0,0.04853788,0.08694086,0.2580461,0.1989851,0,0,0.27682566575
compsvi13,pencil (1),mug,0,1,0.8480363999999999,0,0.875605,0.0,0.3484848,0.5909091,0.0,0.6044941,0.009461574,0.5479859,0.9930733,0,0,1.0
compsvi13,pencil,table,0,0,0.9995696,0,0.0005385365,0.00019061569999999998,0.1439394,1.0,0.0,0.01535742,0.10596610000000001,0.0064058909999999995,1.0,0,0,0.9166700249999999
compsvi13,pencil,pencil (1),0,0,0.0,1,0.2069877,0.09951549,0.0,0.0,0.08333334,0.2344964,0.08694086,0.1989851,0.2580461,0,0,0.21264937
compsvi13,pencil,mug,0,1,0.764895,0,0.1812395,0.03596878,0.0,0.0,0.0,0.4577454000000001,0.09518415,0.1969813,0.4629282,0,0,0.6051997499999999
compsvi13,mug,table,0,0,1.0,0,0.002971408,0.0,0.2003563,0.9947497,0.0,0.0017726439999999999,0.1914474,0.01505456,1.0,0,1,0.7303660750000001
compsvi13,mug,pencil (1),0,0,0.007367345999999999,1,1.142067,0.0001983867,0.01851678,0.0,0.1875586,0.5292981,0.009461574,0.9930733,0.5479859,0,1,0.22145489599999996
compsvi13,mug,pencil,0,0,0.006757406,0,5.517561,0.003038942,0.01870429,0.4545284000000001,0.0,0.08296155,0.09518415,0.4629282,0.1969813,0,1,0.013199167250000001
compsvi14,bowl,ball,0,0,0.0,0,2.27222,0.002854406,0.1624156,0.0,0.0,0.3181272,0.001284797,1.0,0.31812729999999995,0,1,0.09359290415
compsvi14,bowl,table,0,0,0.999944,0,0.002551812,0.0,0.08714679,0.9958739999999999,0.0,0.009920225,0.10666110000000001,0.02215592,1.0,0,1,0.80450405
compsvi14,bowl,pencil,0,0,0.0,0,4.204338,3.093633e-05,0.0183796,0.0,0.963866,0.02065798,0.05459262,0.549188,0.6217138000000001,0,1,0.015724777000000002
