Scene,Figure,Ground,horizontal_distance_normalized,ground_lightsource,ground_container,support,location_control_x,location_control_z,ground_verticality,figure_volume,ground_volume,size_ratio,shortest_distance,shortest_distance_normalized,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_projection_overlap_proportion,location_control_-x,location_control_-z,horizontal_distance,f_covers_g,g_covers_f
compsva13,balloon,balloon,0,0,0,0,1,1,1,0.1759759,0.1759759,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva13,balloon,book,0.04675811,0,0,0,0,0,0,0.1759759,0.005935255,29.64926,0.6189803,0.04421288,0,1,0,0,0,0,0,0.6546135,0,0
compsva13,balloon,table,0.01585408,0,0,0,0,0,0,0.1759759,1.485368,0.1184729,0.4768091,0.03405776,0,1,0,0,0.07514592,0,0,0.2219572,0.08492158,1
compsva13,balloon,pear,0.04376174,0,0,0,0,0,0,0.1759759,0.001065328,165.1848,0.5626066,0.04018619,0,1,0,0,0,0,0,0.6126643,0,0
compsva13,book,balloon,0.04675811,0,0,0.0004518166,1.641613E-05,0.0002047692,1,0.005935255,0.1759759,0.03372766,0.6057249,0.03500179,0,0,1,0,0,1.448481E-05,0.0002047691,0.6546135,0,0
compsva13,book,book,0,0,0,0,1,1,0,0.005935255,0.005935255,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva13,book,table,0.03499519,0,0,1,0.6084129,1,0,0.005935255,1.485368,0.003995813,0,0,0.4057869,0.9823571,0,0.01120967,0.06090473,0.6243078,1,0.4899327,0.06269941,1
compsva13,book,pear,0.006485786,0,0,0.001388998,0.001018655,0.001211387,0,0.005935255,0.001065328,5.571295,0,0,0.01129146,0,0.9689485,0.001666703,1,0.001273933,0.0001040081,0.09080101,1,0.07013765
compsva13,table,balloon,0.01585408,0,0,0,4.656617E-06,3.467909E-06,1,1.485368,0.1759759,8.44075,0.4992877,0.03534,0,0,1,0,1,4.108777E-06,3.467908E-06,0.2219572,1,0.09642081
compsva13,table,book,0.03499519,0,0,0,0.0001836804,0.0002192973,0,1.485368,0.005935255,250.2619,0.05442415,0.003887439,0,0,0.8066038,4.479173E-05,0.9843491,0.0002024538,0.000198033,0.4899327,1,0.06269941
compsva13,table,table,0,0,0,0,1,1,0,1.485368,1.485368,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva13,table,pear,0.0306446,0,0,0,3.016562E-05,1.360826E-05,0,1.485368,0.001065328,1394.283,0.1319592,0.009425658,0,0,1,0,1,0.0002725984,2.625948E-05,0.4290244,1,0.004396504
compsva13,pear,balloon,0.04376174,0,0,0.001471921,0.001590539,0.001916887,1,0.001065328,0.1759759,0.006053827,0.5871031,0.03072922,0,0,1,0,0,0.001403416,0.001916886,0.6126643,0,0
compsva13,pear,book,0.006485786,0,0,1,0.04495341,0.4808268,0,0.001065328,0.005935255,0.1794915,0,0,0.06451613,0.9808841,0,0.009285692,0.05398526,0.4251278,0.2876279,0.09080101,0.07013765,1
compsva13,pear,table,0.0306446,0,0,0.9307941,1,1,0,0.001065328,1.485368,0.0007172144,0.05095786,0.003639817,0,1,0,0,0.004274673,0.8563306,1,0.4290244,0.004335916,1
compsva13,pear,pear,0,0,0,0,1,1,0,0.001065328,0.001065328,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva14,box,box,0,0,1,0,1,1,0,0.04815172,0.04815172,1,0,0,0.75,0.02586207,0,1,1,1,1,0,1,1
compsva14,box,book,0.07237749,0,0,0,0.01713617,0.0186234,0,0.04815172,0.005935261,8.112823,0.00605409,0.000432435,0.02586207,0,1,0,0.6778168,0.02282915,0.01795619,1.013285,0.6784447,0.5303077
compsva14,box,table,0.1063469,0,0,0,0.0002923697,0.09145658,0,0.04815172,1.485368,0.03241736,0.04323101,0,0,0,0.1034483,0.9894348,0.0801275,0.0002990091,0.1354631,1.488857,0.08028641,1
compsva14,book,box,0.07237749,0,1,1,1,0.643889,0,0.005935261,0.04815172,0.1232617,0.003260791,0.0002329137,0.204893,1,0,0,0.5296256,0.4022433,1,1.013285,0.5299718,0.6790542
compsva14,book,book,0,0,0,0,1,1,0,0.005935261,0.005935261,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva14,book,table,0.04116188,0,0,0.0004474838,0.01610289,0.03711485,0,0.005935261,1.485368,0.003995818,0.05509539,0,0,0,0,1,0.06269941,0.01646857,0.05497355,0.5762663,0.06269941,1
compsva14,table,box,0.1063469,0,1,0,0.01845038,0.000924233,0,1.485368,0.04815172,30.84767,0.09180911,0.006557793,0,0.7704403,0,0.03207487,0.8865114,0.000667067,0.005787619,1.488857,1,0.08028641
compsva14,table,book,0.04116188,0,0,0,0.0001766564,0.0003010107,0,1.485368,0.005935261,250.2617,0.2235949,0.01597106,0,0.7704403,0.2295597,0.003995818,1,0.0002113142,0.0001624036,0.5762663,1,0.06269941
compsva14,table,table,0,0,0,0,1,1,0,1.485368,1.485368,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva15,balloon,balloon,0,0,0,0,1,1,1,0.1759758,0.1759758,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva15,balloon,book,0.01644517,0,0,0,0,0,0,0.1759758,0.005935255,29.64925,0.4317011,0.03083579,0,1,0,0,0.3927497,0,0,0.2302324,0.4210151,0.2952407
compsva15,balloon,table,0.04919449,0,0,0,0,0,0,0.1759758,1.485368,0.1184729,0.476806,0.03405755,0,1,0,0,0.07514591,0,0,0.6887228,0.08492156,1
compsva15,balloon,pear,0.01866477,0,0,0,0,0,0,0.1759758,0.001065328,165.1847,0.4240279,0.03028771,0,1,0,0,0,0,0,0.2613068,0,0
compsva15,book,balloon,0.01644517,0,0,0.0004518166,1.698219E-05,0.0002047692,1,0.005935255,0.1759758,0.03372766,0.429541,0.03047169,0,0,1,0,0.2276097,1.641613E-05,0.0001941776,0.2302324,0.2577151,0.4564053
compsva15,book,book,0,0,0,0,1,1,0,0.005935255,0.005935255,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva15,book,table,0.03499519,0,0,1,0.6084107,1,0,0.005935255,1.485368,0.003995813,0,0,0.4057869,0.9823571,0,0.01120967,0.06090473,0.6244571,1,0.4899327,0.06269941,1
compsva15,book,pear,0.006485786,0,0,0.001388998,0.001018655,0.001190248,0,0.005935255,0.001065328,5.571295,0,0,0.01129146,0,0.9689485,0.001666703,1,0.001273933,0.0001135629,0.09080101,1,0.07013765
compsva15,table,balloon,0.04919449,0,0,0,4.817186E-06,3.467909E-06,1,1.485368,0.1759758,8.440751,0.5647101,0.03425029,0,0,1,0,1,4.656617E-06,3.288533E-06,0.6887228,1,0.09642079
compsva15,table,book,0.03499519,0,0,0,0.0001857335,0.0002543246,0,1.485368,0.005935255,250.2619,0.05442415,0.003887439,0,0,0.8066038,4.479173E-05,0.9843491,0.0002024538,0.0002454616,0.4899327,1,0.06269941
compsva15,table,table,0,0,0,0,1,1,0,1.485368,1.485368,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva15,table,pear,0.0306446,0,0,0,3.016562E-05,1.840718E-05,0,1.485368,0.001065328,1394.283,0.1319592,0.009425658,0,0,1,0,1,0.0002725984,1.496965E-05,0.4290244,1,0.004396504
compsva15,pear,balloon,0.01866477,0,0,0.001471921,0.001645384,0.001916887,1,0.001065328,0.1759758,0.006053828,0.4439495,0.02322777,0,0,1,0,0,0.001590539,0.001817737,0.2613068,0,0
compsva15,pear,book,0.006485786,0,0,1,0.09997445,0.4748087,0,0.001065328,0.005935255,0.1794915,0,0,0.06451613,0.9808841,0,0.009285692,0.05398526,0.4251278,0.2684834,0.09080101,0.07013765,1
compsva15,pear,table,0.0306446,0,0,0.9307941,1,1,0,0.001065328,1.485368,0.0007172144,0.05095786,0.003639817,0,1,0,0,0.004274673,1,1,0.4290244,0.004335916,1
compsva15,pear,pear,0,0,0,0,1,1,0,0.001065328,0.001065328,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva23,balloon,balloon,0,0,0,0,1,1,1,0.1759758,0.1759758,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva23,balloon,box,0.005933312,0,1,0,0,0,0,0.1759758,0.06693829,2.628927,0.09502655,0.00678761,0,1,0,0,0.5345469,0,0,0.08306637,0.546311,0.6259037
compsva23,balloon,book,0.01647592,0,0,0,0,0,0,0.1759758,0.00612946,28.70984,0.4322246,0.03087319,0,1,0,0,0.3918844,0,0,0.2306628,0.4199421,0.2945042
compsva23,balloon,table,0.04919485,0,0,0,0,0,0,0.1759758,1.485502,0.1184622,0.4768057,0.03405752,0,1,0,0,0.07514068,0,0,0.688728,0.08491514,1
compsva23,box,balloon,0.005933312,0,0,0.0001217548,0.000889161,0.002441824,1,0.06693829,0.1759758,0.3803834,0.2779166,0.008290269,0,0,1,0,0.5943878,0.0008397639,0.002537581,0.08306637,0.6097346,0.5586373
compsva23,box,box,0,0,1,0,1,1,0,0.06693829,0.06693829,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva23,box,book,0.0108038,0,0,1,0.9187136,1,0,0.06693829,0.00612946,10.92075,0.007616733,0.0005440524,0.008219178,0.9123288,0,0.008299932,0.7131334,1,0.6780903,0.1512533,0.777186,0.4497143
compsva23,box,table,0.04472766,0,0,1,0.7769504,1,0,0.06693829,1.485502,0.04506105,0.04554719,0.003253341,0,1,0,0,0.1055403,0.7342166,1,0.6261873,0.106908,1
compsva23,book,balloon,0.01647592,0,0,0.0008335247,0.0002611063,0.0004350018,1,0.00612946,0.1759758,0.03483126,0.429967,0.03044268,0,0,1,0,0.2272161,0.0002466006,0.0004520605,0.2306628,0.2571854,0.4555368
compsva23,book,box,0.0108038,0,1,0.0006800578,0.0613951,0.008167991,0,0.00612946,0.06693829,0.09156882,0,0,0.2204187,0,0.7675841,0.09064146,0.4289057,0.01294735,0.01383537,0.1512533,0.4497143,0.777186
compsva23,book,book,0,0,0,0,1,1,0,0.00612946,0.00612946,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva23,book,table,0.0349823,0,0,1,0.7094221,1,0,0.00612946,1.485502,0.004126187,0,0,0.4227241,0.9374265,0,0.03905162,0.06085613,0.7435573,1,0.4897522,0.06265693,1
compsva23,table,balloon,0.04919485,0,0,0,5.244624E-06,6.185392E-06,1,1.485502,0.1759758,8.441511,0.5647124,0.03425016,0,0,1,0,1,4.95326E-06,6.427954E-06,0.688728,1,0.09641285
compsva23,table,box,0.04472766,0,1,0,0.0003124062,0.0001877699,0,1.485502,0.06693829,22.19211,0.07419488,0.005299634,0,0,1,0,1,9.495753E-05,7.015399E-05,0.6261873,1,0.1082581
compsva23,table,book,0.0349823,0,0,0,0.00070674,0.0008838911,0,1.485502,0.00612946,242.3545,0.05457639,0.003898313,0,0,0.8066038,0.0001611343,0.9842487,0.0003474925,0.000552,0.4897522,1,0.06265693
compsva23,table,table,0,0,0,0,1,1,0,1.485502,1.485502,1,0,0,1,0,0.004716981,1,1,1,1,0,1,1
compsva24,picture,picture,0,0,0,0,1,1,0,0.01037203,0.01037203,1,8.42937E-08,6.020978E-09,1,0,0,1,1,1,1,0,1,1
compsva24,picture,bin,0.002504268,0,1,1,0.4742517,0.359069,0,0.01037203,0.05693959,0.1821585,0.1337083,0.005862961,0,1,0,0,1,0.07891537,0.02018256,0.03505976,1,0.5041572
compsva24,picture,table,0.02214474,0,0,0.01527379,0.02200126,0.3548519,0,0.01037203,1.485783,0.006980854,0,0,0.15,0,0,0.7652801,0.1127377,0.02898188,1,0.3100263,0.1127377,0.7652801
compsva24,bin,picture,0.002504268,0,0,0.0405557,0.03283293,1,0,0.05693959,0.01037203,5.489724,0.004037245,0.0002883747,0.406326,0,1,0,0.5021842,5.471807E-06,0.03931891,0.03505976,0.5031855,0.9999999
compsva24,bin,bin,0,0,1,0,1,1,0,0.05693959,0.05693959,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva24,bin,table,0.02036197,0,0,0.007295239,0.005569673,0.5154248,0,0.05693959,1.485783,0.03832296,0.0567801,0,0,0,0.05352798,0.9484342,0.07059205,0.01339049,0.2750067,0.2850676,0.07059612,0.9504981
compsva24,table,picture,0.02214474,0,0,0,6.18818E-06,0.3179298,0,1.485783,0.01037203,143.2489,0.1212365,0.008659747,0,0.7704403,0.2295597,0.005342309,0.7066776,0.0001477388,0.002408261,0.3100263,0.7652801,0.1127377
compsva24,table,bin,0.02036197,0,1,0,4.412479E-06,0.004525297,0,1.485783,0.05693959,26.09402,0.07333026,0.005218348,0,0.7704403,0,0.0363468,0.8261655,2.017745E-05,0.004930641,0.2850676,0.9504981,0.07059612
compsva24,table,table,0,0,0,0,1,1,0,1.485783,1.485783,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva25,picture,picture,0,0,0,0,1,1,0,0.01394763,0.01394763,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva25,picture,bin,0.00186348,0,1,0.8659857,0.04857084,0.4140558,0,0.01394763,0.056608,0.2463898,0.126221,0.005417938,0,0.8,0,0.05230446,1,0.2759294,0.5732246,0.02608871,1,0.4973657
compsva25,picture,table,0.06065608,0,0,0.009652582,0.0127958,0.1888489,0,0.01394763,1.485712,0.009387846,0.1029073,0,0,0,0,0.3644289,0.05428435,0.8926618,0.324922,0.8491852,0.05428435,0.3644289
compsva25,bin,picture,0.00186348,0,0,0.03072767,0.1199107,0.0311249,0,0.056608,0.01394763,4.058609,1.794991E-05,1.280058E-06,0.4768856,0,0.4343066,0.01288729,0.3025528,0.2318855,0.01792294,0.02608871,0.4973657,1
compsva25,bin,bin,0,0,1,0,1,1,0,0.056608,0.056608,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva25,bin,table,0.06251826,0,0,0.00766702,0.004944453,0.1885612,0,0.056608,1.485712,0.0381016,0.0545579,0,0,0,0.02919708,0.2619555,0.01941699,0.2021284,0.2085848,0.8752556,0.01941361,0.2620406
compsva25,table,picture,0.06065608,0,0,0,0.003294512,0.0005496847,0,1.485712,0.01394763,106.5207,0.1642572,0.01173265,0,0.7704403,0.2295597,0.003421202,0.3937771,0.0001796182,0.0004369642,0.8491852,0.3644289,0.05428435
compsva25,table,bin,0.06251826,0,1,0,0.0009637072,0.0009164198,0,1.485712,0.056608,26.24562,0.0908438,0.003451034,0,0.7704403,0,0.009980924,0.3278947,0.003202081,0.0009456857,0.8752556,0.2620406,0.01941361
compsva25,table,table,0,0,0,0,1,1,0,1.485712,1.485712,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva34,balloon,balloon,0,0,0,0,1,1,1,0.1759758,0.1759758,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva34,balloon,bin,0.009950242,0,1,0,0,0,0,0.1759758,0.05660798,3.108675,0.6025593,0.04300073,0,1,0,0,0.4490376,0,0,0.1393034,0.5750703,0.5272257
compsva34,balloon,table,0.06142277,0,0,0,0,0,0,0.1759758,1.485712,0.1184454,0.2038083,0.0145577,0,1,0,0,0.08638883,0,0,0.8599188,0.08907015,0.9321296
compsva34,bin,balloon,0.009950242,0,0,0.001613474,8.59301E-05,0.0003067258,1,0.05660798,0.1759758,0.3216805,0.6022938,0.04298719,0,0,1,0,0.3311588,9.098477E-05,0.0002840052,0.1393034,0.4086801,0.690186
compsva34,bin,bin,0,0,1,0,1,1,0,0.05660798,0.05660798,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva34,bin,table,0.05192834,0,0,0.008106593,0.002810039,0.1691848,0,0.05660798,1.485712,0.03810158,0.07642455,0,0,0,0.02919708,0.9996751,0.0740805,0.003454103,0.5008165,0.7269967,0.07408624,1
compsva34,table,balloon,0.06142277,0,0,0,6.443378E-06,8.22545E-06,1,1.485712,0.1759758,8.442707,0.2441488,0.0145577,0,0,1,0,0.8345175,6.822397E-06,7.616151E-06,0.8599188,0.8957275,0.09010849
compsva34,table,bin,0.05192834,0,1,0,0.0008252416,0.0006926926,0,1.485712,0.05660798,26.24563,0.07867695,0.003402779,0,0.7704403,0,0.03808921,0.9409465,1,0.001924873,0.7269967,1,0.07408624
compsva34,table,table,0,0,0,0,1,1,0,1.485712,1.485712,1,0,0,1,0,0,1,1,1,1,0,1,1
compsvi12,pencil,pencil,0,0,0,0,1,1,1,0.003940071,0.003940071,1,0,0,0.3106061,0,0,1,1,1,1,0,1,1
compsvi12,pencil,cup,0.002221837,0,1,1,1,0.1472738,0,0.003940071,0.005667259,0.6952338,0,0,0.4090909,0.5909091,0,0.479413,0.3694318,1,1,0.03110573,0.4959229,0.7925608
compsvi12,pencil,table,0.004120241,0,0,0.9717704,0.3859476,0.4608454,0,0.003940071,1.485128,0.002653018,0.09187269,0.006562305,0,1,0,0,0.007713479,0.7645445,1,0.05768337,0.007899791,1
compsvi12,pencil,cube,0.00751006,0,0,0,0.02675175,1,0,0.003940071,0.0006840104,5.76025,0.0179968,0.001285486,0,0.8333333,0,0.003862621,0.1849458,1,0.9396365,0.1051408,0.1131333,0.05469501
compsvi12,cup,pencil,0.002221837,0,0,0.1014953,0.01687036,0.008423726,1,0.005667259,0.003940071,1.438365,0.0009394649,6.710464E-05,0.00693422,0,0.4558537,0.3333041,0.7475322,0.1682258,0.01475831,0.03110573,0.7925608,0.4959229
compsvi12,cup,cup,0,0,1,0,1,1,0,0.005667259,0.005667259,1,0,0,1,0,0,1,1,1,1,0,1,1
compsvi12,cup,table,0.00211637,0,0,0.9978783,0.6608065,0.5488321,0,0.005667259,1.485128,0.003816009,0.006661832,0.0004758154,0.06767989,1,0,0,0.01288605,0.5792593,0.748988,0.02962918,0.01290792,1
compsvi12,cup,cube,0.005753965,0,0,0.03552997,0.00787489,0.168215,0,0.005667259,0.0006840104,8.285341,1.440411E-06,1.028865E-07,0.05803847,0.5034909,0.0195203,0.05685853,0.4712794,1,0.2669947,0.08055551,0.4710924,0.1425099
compsvi12,table,pencil,0.004120241,0,0,0,0.0001967568,0.001127483,1,1.485128,0.003940071,376.9292,0.1234792,0.008819943,0,0,1,0,1,0.001833531,0.001792969,0.05768337,1,0.008086905
compsvi12,table,cup,0.00211637,0,1,0,0.00411875,0.02543405,0,1.485128,0.005667259,262.0539,0.02480259,0.001771618,0,0,1,0,1,0.007052529,0.03202915,0.02962918,1,0.01292914
compsvi12,table,table,0,0,0,0,1,1,0,1.485128,1.485128,1,0,0,1,0,0.004716981,1,1,1,1,0,1,1
compsvi12,table,cube,0.00579761,0,0,0,8.806243E-05,0.001877496,0,1.485128,0.0006840104,2171.206,0.0598739,0.004276707,0,0,1,0,1,0.04318811,0.002009453,0.08116654,1,0.003911151
compsvi12,cube,pencil,0.00751006,0,0,0.02280801,1,0.04663505,1,0.0006840104,0.003940071,0.1736036,0.03776265,0.002697332,0,0,0.75,0.02224966,0.08882591,1,0.07328372,0.1051408,0.05469501,0.1131333
compsvi12,cube,cup,0.005753965,0,1,0.3965449,1,1,0,0.0006840104,0.005667259,0.1206951,0,0,0.5,0,0,0.4710923,0.1425099,1,1,0.08055551,0.1425099,0.4710924
compsvi12,cube,table,0.00579761,0,0,0.9984947,1,1,0,0.0006840104,1.485128,0.0004605735,0.007746041,0.0005532588,0.25,1,0,0,0.003894207,0.3726998,1,0.08116654,0.003902804,1
compsvi12,cube,cube,0,0,0,0,1,1,0,0.0006840104,0.0006840104,1,0,0,1,0.125,0.125,1,1,1,1,0,1,1
compsvi13,table,table,0,0,0,0,1,1,0,1.485125,1.485125,1,0,0,1,0,0.004716981,1,1,1,1,0,1,1
compsvi13,table,pencil (1),0.01322184,0,0,0,0.0001263728,0.004860661,1,1.485125,0.003863969,384.3523,0.03329038,0.002377884,0,0,1,0,1,0.0007195694,0.0001409663,0.1851058,1,0.008307016
compsvi13,table,pencil,0.007569005,0,0,0,0.0002958826,8.641659E-05,0,1.485125,0.0007997942,1856.884,0.1048811,0.00749151,0,0,0.8066038,8.270532E-06,1,0.0007121935,3.366366E-05,0.1059661,1,0.006405891
compsvi13,table,mug,0.01367481,0,1,0,0.0001036507,0.0005391283,0,1.485125,0.004412913,336.5408,0.0216148,0.001543914,0,0,0.8066038,5.267249E-06,1,0.0002779322,0.0002412012,0.1914474,1,0.01505456
compsvi13,pencil (1),table,0.01322184,0,0,0.9696691,0.8614119,1,0,0.003863969,1.485125,0.00260178,0.01188529,0.0008489192,0,1,0,0,0.008282649,0.7878815,1,0.1851058,0.008295019,1
compsvi13,pencil (1),pencil (1),0,0,0,0,1,1,1,0.003863969,0.003863969,1,0,0,0.3863636,0,0,1,1,1,1,0,1,1
compsvi13,pencil (1),pencil,0.006210062,0,0,0,0.2398191,0.02749648,0,0.003863969,0.0007997942,4.831204,0.1129652,0.008068945,0,0.5909091,0,0.04853788,0.1505267,0.8306785,0.009308583,0.08694086,0.2580461,0.1989851
compsvi13,pencil (1),mug,0.0006758267,0,1,0.8480364,1,1,0,0.003863969,0.004412913,0.875605,0,0,0.3484848,0.5909091,0,0.6044941,0.3724518,1,1,0.009461574,0.5479859,0.9930733
compsvi13,pencil,table,0.007569005,0,0,0.9995696,1,1,0,0.0007997942,1.485125,0.0005385365,0.0001906157,1.358135E-05,0.1439394,1,0,0.01535742,0.006166695,0.6666801,1,0.1059661,0.006405891,1
compsvi13,pencil,pencil (1),0.006210062,0,0,0,0.02572882,0.7013934,1,0.0007997942,0.003863969,0.2069877,0.09951549,0.007108249,0,0,0.08333334,0.2344964,0.2027196,0.09590421,0.02757105,0.08694086,0.1989851,0.2580461
compsvi13,pencil,pencil,0,0,0,0,1,1,0,0.0007997942,0.0007997942,1,0,0,0.3409091,0,0,1,1,1,1,0,1,1
compsvi13,pencil,mug,0.006798868,0,1,0.764895,0.9481791,0.1697632,0,0.0007997942,0.004412913,0.1812395,0.03596878,0.000695765,0,0,0,0.4577454,0.1967115,0.8363535,0.4665032,0.09518415,0.1969813,0.4629282
compsvi13,mug,table,0.01367481,0,0,1,1,1,0,0.004412913,1.485125,0.002971408,0,0,0.2003563,0.9947497,0,0.001772644,0.01376909,0.6955129,0.2259514,0.1914474,0.01505456,1
compsvi13,mug,pencil (1),0.0006758267,0,0,0.007367346,0.005167624,0.8289047,1,0.004412913,0.003863969,1.142067,0.0001983867,1.417048E-05,0.01851678,0,0.1875586,0.5292981,0.9876982,0.02610598,0.02564128,0.009461574,0.9930733,0.5479859
compsvi13,mug,pencil,0.006798868,0,0,0.006757406,0.01269378,0.01620471,0,0.004412913,0.0007997942,5.517561,0.003038942,0.0002170673,0.01870429,0.4545284,0,0.08296155,0.4166976,0.01799543,0.005902749,0.09518415,0.4629282,0.1969813
compsvi13,mug,mug,0,0,1,0,1,1,0,0.004412913,0.004412913,1,0,0,1,0,0,1,1,1,1,0,1,1
compsvi14,bowl,bowl,0,0,1,0,1,1,0,0.00378954,0.00378954,1,0,0,1,0,0,1,1,1,1,0,1,1
compsvi14,bowl,ball,9.17712E-05,0,0,0,0.1274525,0.1236704,0,0.00378954,0.00166777,2.27222,0.002854406,0.0002038861,0.1624156,0,0,0.3181272,1,0.122439,0.0008097166,0.001284797,1,0.3181273
compsvi14,bowl,table,0.007618651,0,0,0.999944,1,1,0,0.00378954,1.485039,0.002551812,0,0,0.08714679,0.995874,0,0.009920225,0.02102879,0.7736733,0.4443429,0.1066611,0.02215592,1
compsvi14,bowl,pencil,0.003899473,0,0,0,0.02095452,0.004076145,0,0.00378954,0.0009013404,4.204338,3.093633E-05,2.209738E-06,0.0183796,0,0.963866,0.02065798,0.498885,0.03399903,0.003869413,0.05459262,0.549188,0.6217138
compsvi14,ball,bowl,9.17712E-05,0,1,0.2492388,1,1,0,0.00166777,0.00378954,0.4400982,0,0,0.4563107,0.1553398,0,0.7228551,0.3146868,0.179768,0.8806269,0.001284797,0.3181273,1
compsvi14,ball,ball,0,0,0,0,1,1,0,0.00166777,0.00166777,1,0,0,1,0,0,1,1,1,1,0,1,1
compsvi14,ball,table,0.007669889,0,0,1,1,1,0,0.00166777,1.485039,0.001123048,0.01590121,0.001135771,0,1,0,0.0309114,0.006569705,0.6589206,0.116717,0.1073784,0.007048403,1
compsvi14,ball,pencil,0.00397441,0,0,0.03419478,0.1288807,0.07735926,0,0.00166777,0.0009013404,1.850322,0.02537423,0.001812445,0,0,0.807767,0.1167962,0.1881583,0.17004,0.0592752,0.05564174,0.2161106,0.7690325
