Support Calculations
Scene, Figure,Ground, Movement,Normalized Movement,Support
sv_modtypi2,bowl,table,0.814896,0.995402,0.995402
sv_modtypi2,ball (2),table,0.831596,1.01529,1
sv_modtypi2,ball,table,0.811396,0.990631,0.990631
sv_modtypi2,pear,table,0.875653,1.06908,1
sv_modtypi2,ball (4),bowl,0.880712,28.8862,1
sv_modtypi2,ball (1),bowl,0.902877,16.8895,1
sv_modtypi2,ball (3),bowl,0.843982,72.751,1
sv_modtypi2,table,bowl,6.42538E-05,0.000556426,0.000556426
sv_modtypi2,bowl,bowl,0,0,0
sv_modtypi2,ball (2),bowl,0.0408807,1.07479,1
sv_modtypi2,ball,bowl,0.908848,14.2611,1
sv_modtypi2,pear,bowl,0.130957,1.13407,1
sv_modtypi2,ball (4),ball (2),0.00229424,0.0328905,0.0328905
sv_modtypi2,ball (1),ball (2),-0.00492114,-0.319099,0
sv_modtypi2,ball (3),ball (2),8.29697E-05,0.00340723,0.00340723
sv_modtypi2,table,ball (2),6.4373E-05,0.00105321,0.00105321
sv_modtypi2,bowl,ball (2),-0.00406671,-0.181101,0
sv_modtypi2,ball (2),ball (2),0,0,0
sv_modtypi2,ball,ball (2),0.00511378,0.199034,0.199034
sv_modtypi2,pear,ball (2),0.00731015,0.119601,0.119601
sv_modtypi2,ball (4),ball,0.00253099,0.0574429,0.0574429
sv_modtypi2,ball (1),ball,-0.000300407,-0.00453602,0
sv_modtypi2,ball (3),ball,-0.000473261,-0.00334066,0
sv_modtypi2,table,ball,6.43134E-05,0.000453976,0.000453976
sv_modtypi2,bowl,ball,-0.00410426,-0.0289712,0
sv_modtypi2,ball (2),ball,-0.000152886,-0.00107919,0
sv_modtypi2,ball,ball,0,0,0
sv_modtypi2,pear,ball,0.105417,1.54358,1
sv_modtypi2,ball (4),pear,0.00168502,0.0189773,0.0189773
sv_modtypi2,ball (1),pear,-0.0040915,-0.0460799,0
sv_modtypi2,ball (3),pear,0.000103533,0.00116603,0.00116603
sv_modtypi2,table,pear,6.44922E-05,0.000726334,0.000726334
sv_modtypi2,bowl,pear,-0.00415766,-0.0468251,0
sv_modtypi2,ball (2),pear,-0.00218874,-0.0246504,0
sv_modtypi2,ball,pear,0.00187254,0.0210892,0.0210892
sv_modtypi2,pear,pear,0,0,0
sv_modtypi3,table,table,0,0,0
sv_modtypi3,box,table,0.278483,1.00001,1
sv_modtypi3,table,box,7.08699E-05,0.000211594,0.000211594
sv_modtypi3,box,box,0,0,0
sv_modtypi4,pencil,pencil,0,0,0
sv_modtypi4,mug,pencil,-0.000111759,-0.00136137,0
sv_modtypi4,table,pencil,7.53999E-05,0.000228717,0.000228717
sv_modtypi4,pencil,mug,0.147452,0.931187,0.931187
sv_modtypi4,mug,mug,0,0,0
sv_modtypi4,table,mug,7.55787E-05,0.000380531,0.000380531
sv_modtypi4,pencil,table,0.819478,0.990299,0.990299
sv_modtypi4,mug,table,0.818953,0.999862,0.999862
sv_modtypi4,table,table,0,0,0
sv_modtypo1,spoon,spoon,0,0,0
sv_modtypo1,plate,spoon,0.00297034,0.113564,0.113564
sv_modtypo1,table,spoon,6.67572E-05,0.0025523,0.0025523
sv_modtypo1,spoon,plate,0.0161858,1.11465,1
sv_modtypo1,plate,plate,0,0,0
sv_modtypo1,table,plate,6.66976E-05,0.00246052,0.00246052
sv_modtypo1,spoon,table,0.821096,1.00248,1
sv_modtypo1,plate,table,0.822816,1.00458,1
sv_modtypo1,table,table,0,0,0
sv_modtypo2,pencil,pencil,0,0,0
sv_modtypo2,mug,pencil,0.0166158,0.154659,0.154659
sv_modtypo2,table,pencil,7.02143E-05,0.00172366,0.00172366
sv_modtypo2,pencil,mug,-7.57575E-05,-0.00422167,0
sv_modtypo2,mug,mug,0,0,0
sv_modtypo2,table,mug,7.02143E-05,0.000304471,0.000304471
sv_modtypo2,pencil,table,0.819204,1.00839,1
sv_modtypo2,mug,table,0.821377,1.00806,1
sv_modtypo2,table,table,0,0,0
sv_modtypo3,pear,pear,0,0,0
sv_modtypo3,bowl,pear,-0.00342304,-0.171392,0
sv_modtypo3,table,pear,7.68304E-05,0.000284405,0.000284405
sv_modtypo3,pear,bowl,-0.0831389,-0.557376,0
sv_modtypo3,bowl,bowl,0,0,0
sv_modtypo3,table,bowl,7.69496E-05,0.000647038,0.000647038
sv_modtypo3,pear,table,0.829905,1.03859,1
sv_modtypo3,bowl,table,0.815644,0.995852,0.995852
sv_modtypo3,table,table,0,0,0
sv_modtypo4,clock,clock,0,0,0
sv_modtypo4,board,clock,0.000844717,0.00539978,0.00539978
sv_modtypo4,table,clock,6.00815E-05,0.000375291,0.000375291
sv_modtypo4,clock,board,0.813601,0.975957,0.975957
sv_modtypo4,board,board,0,0,0
sv_modtypo4,table,board,6.02007E-05,6.04098E-05,6.04098E-05
sv_modtypo4,clock,table,0.805685,0.983622,0.983622
sv_modtypo4,board,table,0.81991,1.00108,1
sv_modtypo4,table,table,0,0,0
sv_modtypov1,bin,bin,0,0,0
sv_modtypov1,picture,bin,0.278648,0.662325,0.662325
sv_modtypov1,table,bin,5.43594E-05,8.86177E-05,8.86177E-05
sv_modtypov1,bin,picture,0.00353548,0.0950733,0.0950733
sv_modtypov1,picture,picture,0,0,0
sv_modtypov1,table,picture,5.45383E-05,0.000283017,0.000283017
sv_modtypov1,bin,table,0.00363055,0.0180552,0.0180552
sv_modtypov1,picture,table,1.95503E-05,4.64715E-05,4.64715E-05
sv_modtypov1,table,table,0,0,0
sv_modtypov2,pan,pan,0,0,0
sv_modtypov2,lid,pan,0.0802925,0.977282,0.977282
sv_modtypov2,table,pan,7.22408E-05,0.000755455,0.000755455
sv_modtypov2,pan,lid,-2.93255E-05,-0.00036273,0
sv_modtypov2,lid,lid,0,0,0
sv_modtypov2,table,lid,7.23004E-05,0.00152919,0.00152919
sv_modtypov2,pan,table,0.819035,0.999948,0.999948
sv_modtypov2,lid,table,0.817745,0.998387,0.998387
sv_modtypov2,table,table,0,0,0
sv_modtypov3,pencil,pencil,0,0,0
sv_modtypov3,shelf,pencil,-1.8239E-05,-0.000441795,0
sv_modtypov3,table,pencil,7.64132E-05,0.00185092,0.00185092
sv_modtypov3,pencil,shelf,-4.17233E-07,-3.03202E-05,0
sv_modtypov3,shelf,shelf,0,0,0
sv_modtypov3,table,shelf,7.64132E-05,9.60207E-05,9.60207E-05
sv_modtypov3,pencil,table,0.819066,1.00847,1
sv_modtypov3,shelf,table,0.81905,0.999981,0.999981
sv_modtypov3,table,table,0,0,0
sv_modtypov4,cabinet,cabinet,0,0,0
sv_modtypov4,sink,cabinet,1.00854,1.03162,1
sv_modtypov4,tap,cabinet,0.974131,0.999618,0.999618
sv_modtypov4,cabinet,sink,-0.000635624,-0.00445542,0
sv_modtypov4,sink,sink,0,0,0
sv_modtypov4,tap,sink,1.21253,8.49924,1
sv_modtypov4,cabinet,tap,-0.000559747,-0.00140287,0
sv_modtypov4,sink,tap,0.013639,0.119717,0.119717
sv_modtypov4,tap,tap,0,0,0
sv_modtypu1,lamp,lamp,0,0,0
sv_modtypu1,notepad,lamp,0.00011307,0.00147459,0.00147459
sv_modtypu1,table,lamp,7.6294E-05,9.34326E-05,9.34326E-05
sv_modtypu1,notepad,notepad,0,0,0
sv_modtypu1,table,notepad,7.6294E-05,0.00317717,0.00317717
sv_modtypu1,lamp,notepad,-0.0677974,-0.197124,0
sv_modtypu1,notepad,table,0.819067,1,1
sv_modtypu1,table,table,0,0,0
sv_modtypu1,lamp,table,0.799147,1.07646,1
