Annotation ID,Clean User ID,Task,Scene,Prepositions,Figure,Ground,Time
298a0c3e-268e-40f4-a623-05fc01759db6,8,sv_mod,sv_modtypa2,against;;,box,table,27072020-130535
47901b62-1d7f-40f3-a3c3-8f2c3eb11274,11,sv_mod,sv_modtypi1,in;on;inside;;,cube,shelf,27072020-170140
b0614f43-c960-4c7a-acd2-08f34563b18c,11,sv_mod,sv_modtypo3,in;;,pear,bowl,27072020-170154
ca9206ee-e988-44db-8ade-32ff1ba65ae9,11,sv_mod,sv_modtypo4,against;;,clock,board,27072020-170212
fec015ae-2556-4ab9-b7fe-af84936e404a,11,sv_mod,sv_modtypov1,over;on top of;above;;,table,bin,27072020-170226
00528e49-81a4-4a6d-ac36-1b05e6a17dfa,11,sv_mod,sv_modtypi3,in;inside;;,box,table,27072020-170248
0958fbfc-fb8b-45e1-b576-db51fa090a05,11,sv_mod,sv_modtypov4,over;above;;,tap,sink,27072020-170308
4c5d94c4-a2a9-40da-8fbf-d8e3fd80ce7d,12,sv_mod,sv_modtypo4,against;on;;,clock,board,27072020-201103
89502b79-5e74-4699-a7b6-aa95cae619dd,12,sv_mod,sv_modtypi3,under;;,box,table,27072020-201220
c4d1a61d-0991-4743-bee6-8943995ef288,12,sv_mod,sv_modtypov4,over;;,tap,sink,27072020-201315
fd6faa83-b9db-4069-b275-1af9a3d7f37d,12,sv_mod,sv_modtypo2,on;on top of;;,mug,pencil,27072020-201351
1656e14e-badd-4e95-bd1c-e6bf4a554593,12,sv_mod,sv_modtypu2,under;;,bin,table,27072020-201421
81482090-28ab-4524-b221-ee816c4655d4,12,sv_mod,sv_modtypi1,on;;,cube,shelf,27072020-201452
c940fd74-e202-4cdb-92a6-5c5cef84331d,13,sv_mod,sv_modtypov4,above;;,tap,sink,28072020-092335
2b5526b4-ac39-4e19-8a93-21250a77f774,13,sv_mod,sv_modtypov2,on top of;;,lid,pan,28072020-092343
d509f6bb-383a-4b6d-a1cb-e6ae313e077c,13,sv_mod,sv_modtypi1,on;;,cube,shelf,28072020-092352
0892ceac-b39a-40b2-881d-5c17a8bfd18e,13,sv_mod,sv_modtypov3,under;above;;,shelf,pencil,28072020-092407
82843cfe-ede8-4653-8e20-9ff432a78dc6,13,sv_mod,sv_modtypu2,under;;,bin,table,28072020-092417
2b577be8-3d68-42f6-90c9-5e99b9bbbc4e,13,sv_mod,sv_modtypo2,on top of;;,mug,pencil,28072020-092425
406b343f-ada4-4545-b4e7-34ddf852b0b4,14,sv_mod,sv_modtypu1,under;below;;,notepad,lamp,28072020-094743
802ed0f7-b9c6-4e06-aeb4-d2c22ba19137,14,sv_mod,sv_modtypov4,over;above;;,tap,sink,28072020-094807
5b6876ec-6ea8-477f-8b67-ca4030b91d5f,14,sv_mod,sv_modtypo1,on;;,spoon,plate,28072020-094820
90764b72-bb82-4dd1-b88f-1c9f21c1c2cf,14,sv_mod,sv_modtypov2,on;on top of;;,lid,pan,28072020-094835
5ed6aefc-005c-40ac-93d2-5359cd2c2505,14,sv_mod,sv_modtypov3,above;;,shelf,pencil,28072020-094854
8345f02d-cbeb-441c-83df-2de2a9258742,14,sv_mod,sv_modtypu3,under;;,pencil,shelf,28072020-094907
5a8c0e79-1223-48cb-89cb-d073f1748da8,15,sv_mod,sv_modtypo4,on;;,clock,board,28072020-122323
e71e0fa3-b488-4e69-ad7e-703e48ac24ae,15,sv_mod,sv_modtypov4,over;above;;,tap,sink,28072020-122349
f26b87b6-ee0c-4174-87e5-25edcf9d558d,15,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,28072020-122402
e4447084-27fe-405c-8130-4fd016695297,15,sv_mod,sv_modtypu1,under;below;;,notepad,lamp,28072020-122427
8fb8dcd4-0794-4754-9c0f-d559f15f6695,15,sv_mod,sv_modtypu4,against;under;below;;,sink,tap,28072020-122451
f7cd7ca6-bce5-4545-b0de-c456befe5189,15,sv_mod,sv_modtypu3,in;under;inside;below;;,pencil,shelf,28072020-122530
ceff0472-c0ee-4468-a00e-02e2b1f1cdd2,16,sv_mod,sv_modtypa1,against;;,table,box,29072020-133404
45018969-49b1-4533-ab2e-6c42bbf9edca,16,sv_mod,sv_modtypov2,against;on;over;on top of;above;;,lid,pan,29072020-133423
9f40a77f-1b99-4cdb-abf7-bf9f1bc0fb7a,16,sv_mod,sv_modtypo4,against;on;;,clock,board,29072020-133437
65547eec-7960-44e5-978f-f6758130d70a,16,sv_mod,sv_modtypu4,under;;,sink,tap,29072020-133451
8b2b333f-98f0-4c83-8f41-cd46ac971d63,16,sv_mod,sv_modtypo2,against;on;over;on top of;above;;,mug,pencil,29072020-133503
50c8293a-7c98-489b-9238-8f0e6a13c145,16,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,29072020-133519
c5d02ca4-8c20-4952-b3f7-86af44fecc34,18,sv_mod,sv_modtypov3,over;;,shelf,pencil,29072020-133629
03bff053-8786-4aaa-ad6c-c9283e3c5839,18,sv_mod,sv_modtypu2,under;;,bin,table,29072020-133644
a9ef7f10-90f6-4c7a-9aed-16b2c38593a6,19,sv_mod,sv_modtypov3,under;below;;,shelf,pencil,29072020-133647
458f3243-b82a-4481-be56-6c77d8f830e9,19,sv_mod,sv_modtypi2,in;on;inside;on top of;;,pear,bowl,29072020-133701
8ea39f1a-082e-495c-882e-8d2d76d3358e,18,sv_mod,sv_modtypu1,under;;,notepad,lamp,29072020-133711
09f55427-582a-44fc-8ad5-29e170024fb1,19,sv_mod,sv_modtypi3,under;below;;,box,table,29072020-133712
43e860a9-19ba-411d-b8d5-777355364302,19,sv_mod,sv_modtypo4,against;;,clock,board,29072020-133720
61d68da0-6c12-478d-9119-6c42732c5c72,19,sv_mod,sv_modtypo1,on;on top of;above;;,spoon,plate,29072020-133727
f4ebb791-a4dc-4454-811a-b3b8b3c394e2,18,sv_mod,sv_modtypu4,under;;,sink,tap,29072020-133732
56d64d58-c54f-4a72-a632-668123555955,19,sv_mod,sv_modtypo2,under;below;;,mug,pencil,29072020-133733
cb9f4b0b-da35-4970-a766-852feb57c052,18,sv_mod,sv_modtypi2,in;;,pear,bowl,29072020-133752
60b43ac8-261c-4fa1-ac03-2279b9fca822,18,sv_mod,sv_modtypov4,over;;,tap,sink,29072020-133803
f6f1aa0c-5ba0-4011-84d2-213e1fe1e69d,20,sv_mod,sv_modtypo4,against;on;;,clock,board,29072020-135239
1c3943c6-3fb9-4814-b0df-0584a61d1f5c,20,sv_mod,sv_modtypu1,under;below;;,notepad,lamp,29072020-135309
0213dd00-2858-4f2d-912f-907f35a14854,20,sv_mod,sv_modtypa1,against;;,table,box,29072020-135317
48ef0041-9f76-400f-a62b-738694ce3b98,20,sv_mod,sv_modtypov2,on;on top of;above;;,lid,pan,29072020-135338
275808f6-6758-4cd5-a8de-cdc41a52fe34,20,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,29072020-135350
6debd3a2-c0fb-4d69-9456-c54502f91587,20,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,29072020-135357
95b83ff4-96c6-43d2-beb2-b6e626b8d23a,21,sv_mod,sv_modtypo1,on;above;;,spoon,plate,30072020-101521
9d954cb6-e6b8-4f33-b09b-ac03a797002c,21,sv_mod,sv_modtypov3,under;below;;,shelf,pencil,30072020-101533
bdcf845d-7bf9-4735-bba6-851c8a51feca,21,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,30072020-101541
e49058c1-68d2-48b6-97f6-c801999f3f98,21,sv_mod,sv_modtypo2,against;on;on top of;;,mug,pencil,30072020-101555
488e60f9-aa25-4b14-8b34-384f2426f112,21,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,30072020-101604
6ec6406d-dd73-451d-8fd9-ac9a19987c45,21,sv_mod,sv_modtypo4,against;on;;,clock,board,30072020-101613
f304c2a7-7e10-47e7-b018-c86838d6cf54,22,sv_mod,sv_modtypov3,over;on top of;above;;,shelf,pencil,30072020-130525
3ed8ea52-6154-4d99-b60a-fa8d88d7d9e0,22,sv_mod,sv_modtypo3,in;inside;on top of;above;;,pear,bowl,30072020-130536
b1b91c4a-9beb-462e-bee3-3338824628f3,22,sv_mod,sv_modtypu3,in;under;below;;,pencil,shelf,30072020-130558
dddd196a-5be0-42d2-b1f5-5fb8f945c52d,22,sv_mod,sv_modtypov1,on;over;on top of;above;;,table,bin,30072020-130608
fc465c68-37b0-4ddb-86f7-ae72d76c4b3d,22,sv_mod,sv_modtypo4,on;on top of;above;;,clock,board,30072020-130624
a192f444-5ec8-4304-aebd-975e2e3adc0a,22,sv_mod,sv_modtypa2,against;under;below;;,box,table,30072020-130635
9ff5e691-d174-4132-86eb-d2211d3bb9f5,23,sv_mod,sv_modtypa2,against;;,box,table,30072020-162027
adc804ed-047f-4aef-b08f-f0d1e005a987,23,sv_mod,sv_modtypi2,in;;,pear,bowl,30072020-162045
446921c1-ff2b-46e4-98fd-b80807401add,23,sv_mod,sv_modtypu1,in;under;below;;,notepad,lamp,30072020-162102
c5abf35a-ced1-428f-ae15-f0c2c6e5de72,23,sv_mod,sv_modtypi1,on;;,cube,shelf,30072020-162117
03574cb9-7e1d-46f3-9f54-342cc9134a53,23,sv_mod,sv_modtypov2,on;on top of;;,lid,pan,30072020-162139
aa471aaa-b436-4ff5-90e9-e36746e15a5b,23,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,30072020-162149
48126fdf-4d3c-4579-b3fa-38b46e80f151,24,sv_mod,sv_modtypu2,under;inside;below;;,bin,table,30072020-233239
f6547adc-3aaf-4075-bb06-f14870f9faae,24,sv_mod,sv_modtypi2,in;over;on top of;above;;,pear,bowl,30072020-233309
360c4127-e0ec-497c-a8a6-02f795c394c5,24,sv_mod,sv_modtypu3,under;below;;,pencil,shelf,30072020-233320
c64f2560-47e3-44e3-9876-60c168840e55,24,sv_mod,sv_modtypu4,against;under;below;;,sink,tap,30072020-233344
21294920-6546-4e54-aad2-d5981a64e63e,24,sv_mod,sv_modtypov4,against;over;above;;,tap,sink,30072020-233356
142515d5-006b-4396-afa6-0128543ce20e,24,sv_mod,sv_modtypo3,in;inside;above;;,pear,bowl,30072020-233435
b4f00393-56de-47b4-b4ae-712c3eb9b289,25,sv_mod,sv_modtypov3,over;on top of;above;;,shelf,pencil,31072020-105149
1e32710d-d2e1-433c-b8b4-d8f04551bed9,25,sv_mod,sv_modtypov4,over;above;;,tap,sink,31072020-105212
b3444f1b-39db-4980-ab56-c41affdf76b6,25,sv_mod,sv_modtypo4,on;;,clock,board,31072020-105225
4428ebf4-09ed-405d-a532-d3082b072b8c,25,sv_mod,sv_modtypi2,in;inside;;,pear,bowl,31072020-105237
2588c8d4-44f4-447b-908d-dd5819f8dd4f,25,sv_mod,sv_modtypu1,under;below;;,notepad,lamp,31072020-105249
885086a2-ad09-4103-868f-c8e6d9969e9b,25,sv_mod,sv_modtypa2,against;;,box,table,31072020-105301
1754589a-2abb-43f0-ab04-68168542b5b1,26,sv_mod,sv_modtypi4,in;;,pencil,mug,02082020-100730
cd0302bf-b571-41bb-9041-54a3ab9e040a,26,sv_mod,sv_modtypov3,on;over;on top of;above;;,shelf,pencil,02082020-100802
5d484795-8dec-4e73-af8a-c46b5f2c4221,26,sv_mod,sv_modtypi2,in;on top of;;,pear,bowl,02082020-100824
a28be604-e581-48b4-ba5b-b81ecf3aa1db,26,sv_mod,sv_modtypi3,against;under;below;;,box,table,02082020-100839
21962e69-fe77-4b3f-a080-9fd1f604a937,26,sv_mod,sv_modtypov4,over;above;;,tap,sink,02082020-100855
d6a9b211-7e09-4e56-a046-126cb66ca352,26,sv_mod,sv_modtypov1,over;above;;,table,bin,02082020-100910
1cfd5c97-71dc-4e5b-9146-c56f19113515,27,sv_mod,sv_modtypi3,in;against;under;inside;below;;,box,table,03082020-153904
da933a81-f797-4728-8eee-c4a61f0e257b,27,sv_mod,sv_modtypo4,on;;,clock,board,03082020-153912
b8a2de36-1f85-4eb6-bdef-303b0b28ec85,27,sv_mod,sv_modtypa2,against;;,box,table,03082020-153922
c3d80013-5015-431b-8bab-70e34324c11a,27,sv_mod,sv_modtypov4,against;;,tap,sink,03082020-153932
90dda6bf-34c8-49fc-8bc1-2503a2304113,27,sv_mod,sv_modtypov1,over;;,table,bin,03082020-153941
82348f4c-1912-427f-a56f-77fb11c05f19,27,sv_mod,sv_modtypa1,against;;,table,box,03082020-153948
82a11510-5cb7-43ce-8f8d-4d1c1988bb29,28,sv_mod,sv_modtypo2,on;on top of;;,mug,pencil,05082020-120317
4dc82a6a-3a48-4eb3-9e08-46e95feac5f4,28,sv_mod,sv_modtypo1,on;on top of;;,spoon,plate,05082020-120333
ae3122c3-2ecb-4cc0-9a91-53f1805fd8cf,28,sv_mod,sv_modtypu3,under;below;;,pencil,shelf,05082020-120347
2d48e3f6-8ed0-4807-9a69-0b2b76e3f8bf,28,sv_mod,sv_modtypa2,against;;,box,table,05082020-120359
5f555c10-2618-4b41-8c91-394f25ab315d,28,sv_mod,sv_modtypi2,in;on top of;;,pear,bowl,05082020-120421
62af807d-2e75-4dbb-92de-545f601e0333,28,sv_mod,sv_modtypov1,above;;,table,bin,05082020-120451
8b18f111-e3fe-4834-b14e-4b33a85c40c8,29,sv_mod,sv_modtypa1,against;;,table,box,05082020-141018
4cbe26cf-f37a-4bfd-ad7b-6a1c989da53a,29,sv_mod,sv_modtypi4,in;;,pencil,mug,05082020-141033
3555ec04-d566-4f16-98a9-6499b82ac4c5,29,sv_mod,sv_modtypov3,above;;,shelf,pencil,05082020-141101
09b8c196-1a59-4dcb-b78b-2823e006fcc4,29,sv_mod,sv_modtypu4,under;;,sink,tap,05082020-141121
21f92777-644e-4c6f-be1a-0454b826ba9b,29,sv_mod,sv_modtypi2,above;;,pear,bowl,05082020-141147
08bdf264-7460-449d-bfd9-91d2d8905129,29,sv_mod,sv_modtypov2,on;on top of;above;;,lid,pan,05082020-141232
fca35b08-45c9-4a55-8c6f-f0f1c149855d,30,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,07082020-110741
6213ba68-1213-42ba-9b89-154c5630278b,30,sv_mod,sv_modtypi2,over;on top of;above;;,pear,bowl,07082020-110901
c7518a4d-8d6c-4741-914b-a6453e4751e8,30,sv_mod,sv_modtypu3,under;below;;,pencil,shelf,07082020-110939
20b968c3-66e6-424c-9ad9-111404fafe9c,30,sv_mod,sv_modtypov2,on;on top of;;,lid,pan,07082020-111050
2b7407d1-eb02-4f7a-9cca-03714c7fdb41,30,sv_mod,sv_modtypo3,in;on;;,pear,bowl,07082020-111232
d473da03-7185-4740-9848-9d4b854d7c39,30,sv_mod,sv_modtypu4,under;below;;,sink,tap,07082020-111258
1d904ac7-6d14-44ea-bfd2-6ce751a973c7,31,sv_mod,sv_modtypu1,under;;,notepad,lamp,07082020-120056
94650a43-42d7-47ec-985b-d86542de96cf,31,sv_mod,sv_modtypa1,against;;,table,box,07082020-120106
7b6d03a3-0804-4887-9d09-93e296fb096f,31,sv_mod,sv_modtypov2,on top of;;,lid,pan,07082020-120112
819b2bae-1b30-430c-a4f6-076ad4bd7475,31,sv_mod,sv_modtypo1,on;;,spoon,plate,07082020-120122
3901858b-7bcc-4faf-82c2-5c9a783e4e2f,31,sv_mod,sv_modtypu4,under;;,sink,tap,07082020-120130
75b9727e-abfd-4ca8-9038-86a73496ccc0,31,sv_mod,sv_modtypi1,on;;,cube,shelf,07082020-120138
8003ae02-9ab8-4c97-9a23-512608a88e02,32,sv_mod,sv_modtypi3,below;;,box,table,07082020-130756
bdba0fcc-628a-4a20-980b-cea2f99cb783,32,sv_mod,sv_modtypov3,over;;,shelf,pencil,07082020-130824
6d1b633f-1b3a-4092-9311-f1afb76a3960,32,sv_mod,sv_modtypi4,in;;,pencil,mug,07082020-130832
9f530002-2762-4f96-bc43-a1dea5cec696,32,sv_mod,sv_modtypo4,on;;,clock,board,07082020-130843
69d29c1a-cbe8-4cdd-939b-e7064a784172,32,sv_mod,sv_modtypo3,in;;,pear,bowl,07082020-130857
1ccf4f82-1ae9-4a28-af7c-85f3bf48a95f,32,sv_mod,sv_modtypu4,none;;,sink,tap,07082020-130911
6c057203-3f72-4e21-ab09-0336fc24f409,33,sv_mod,sv_modtypi2,on;over;on top of;above;;,pear,bowl,07082020-153329
1691829f-4218-4b7e-a149-8317e464e14e,33,sv_mod,sv_modtypu1,under;below;;,notepad,lamp,07082020-153350
aff265b2-ce06-4a3a-9fa3-2cbfd44aa314,33,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,07082020-153401
92f4877b-115a-4fcf-ab41-efef4e2a5353,33,sv_mod,sv_modtypo1,on;on top of;;,spoon,plate,07082020-153429
2fa5db51-d742-4bfb-9552-9b3bf617cc38,33,sv_mod,sv_modtypu3,under;below;;,pencil,shelf,07082020-153443
54074d17-2093-4f51-a197-d61f46641896,33,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,07082020-153456
3bab8539-056b-4cec-8b87-b3bfac04031d,38,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,08082020-122457
1626c378-7a1d-4c8d-a04c-b84509a23466,38,sv_mod,sv_modtypo2,on;on top of;;,mug,pencil,08082020-122509
43036afa-8bb4-426c-ba2b-9741cf5e2044,38,sv_mod,sv_modtypa2,against;;,box,table,08082020-122517
26a1b6ee-87fb-488b-b8b6-b536720e0029,38,sv_mod,sv_modtypov4,none;;,tap,sink,08082020-122529
7482f873-a579-4e75-906c-cf9750705df0,38,sv_mod,sv_modtypu3,under;;,pencil,shelf,08082020-122550
0790a6ab-cfd5-400b-bfa6-85473d0a5946,38,sv_mod,sv_modtypu1,under;;,notepad,lamp,08082020-122605
8b47156e-6073-4b30-a852-e558b748138f,40,sv_mod,sv_modtypi4,in;;,pencil,mug,12082020-065940
d698adf9-e3d7-4700-8f9c-a00b0c50ab97,40,sv_mod,sv_modtypu4,against;under;;,sink,tap,12082020-065958
1e851649-5966-4ed9-ac90-f929b1440087,40,sv_mod,sv_modtypa1,against;;,table,box,12082020-070006
a25988db-5014-4ade-848c-59ba091f0664,40,sv_mod,sv_modtypo3,inside;on top of;;,pear,bowl,12082020-070018
0c03037e-300b-47be-a488-c024bb9b1a34,40,sv_mod,sv_modtypo2,on top of;above;;,mug,pencil,12082020-070030
9e680c2f-a72e-46bb-ad16-a11713e4ed91,40,sv_mod,sv_modtypa2,against;;,box,table,12082020-070040
eb78e3f0-a40a-40b7-a681-01fd7cdf8b3a,41,sv_mod,sv_modtypov4,over;on top of;above;;,tap,sink,13082020-134229
0371d4f1-d893-4353-9a1d-2f6c806cda63,41,sv_mod,sv_modtypa2,under;;,box,table,13082020-134245
463dccfa-5d27-4ad1-b30c-559b34e26309,41,sv_mod,sv_modtypo1,on;over;on top of;above;;,spoon,plate,13082020-134300
cacbf263-7b8c-4688-8246-29fb25e41e0f,41,sv_mod,sv_modtypov1,over;above;;,table,bin,13082020-134307
9579d4dd-d8a3-45bf-84a5-0ad49ff006a0,41,sv_mod,sv_modtypi3,under;below;;,box,table,13082020-134322
f43d4660-047e-4bae-ac2f-877a4b887993,41,sv_mod,sv_modtypo2,on;on top of;;,mug,pencil,13082020-134334
e5bbdd69-dcfd-415c-88a9-6621cedc51f4,42,sv_mod,sv_modtypo2,on;on top of;;,mug,pencil,15082020-125703
64fc08b1-ebb4-4948-812b-c4794f971866,42,sv_mod,sv_modtypa2,against;;,box,table,15082020-125735
6b56b7d8-5246-4abb-a25c-7e12c1784411,42,sv_mod,sv_modtypo1,on;;,spoon,plate,15082020-125749
ee2aaa13-2ab7-4768-a19c-0b78379d44dd,42,sv_mod,sv_modtypa1,against;;,table,box,15082020-125759
84c197ec-c2ac-4e04-b017-ca5e412390df,42,sv_mod,sv_modtypov3,over;;,shelf,pencil,15082020-125817
788b5b55-1346-4228-a45c-d0f8a201fae1,42,sv_mod,sv_modtypu2,under;below;;,bin,table,15082020-125833
