Number of Native English users: 29
Scene,Number of Users Annotating,Selection Info
compsvo16a,5,"[[['on top of', 'table', 3], ['balloon', 0], ['book', 3]], [['over', 'table', 3], ['balloon', 2], ['book', 0], ['none', 1]], [['above', 'table', 2], ['balloon', 2], ['book', 0]], [['in', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]], [['below', 'table', 2], ['balloon', 0], ['book', 0], ['none', 2]], [['on', 'table', 2], ['balloon', 0], ['book', 2]], [['against', 'table', 5], ['balloon', 1], ['book', 0], ['none', 4]], [['inside', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]], [['under', 'table', 2], ['balloon', 0], ['book', 0], ['none', 2]]]"
compsvo17,4,"[[['on top of', 'table', 2], ['box', 0], ['book', 2]], [['over', 'table', 3], ['box', 0], ['book', 0], ['none', 3]], [['above', 'table', 3], ['box', 0], ['book', 2], ['none', 1]], [['in', 'table', 3], ['box', 1], ['book', 0], ['none', 2]], [['below', 'table', 3], ['box', 3], ['book', 0]], [['on', 'table', 3], ['box', 0], ['book', 3]], [['against', 'table', 2], ['box', 0], ['book', 0], ['none', 2]], [['under', 'table', 1], ['box', 1], ['book', 0]]]"
compsvi34,4,"[[['on top of', 'mug', 3], ['table', 0], ['pencil (1)', 3], ['pencil', 0]], [['above', 'mug', 2], ['table', 0], ['pencil (1)', 2], ['pencil', 0]], [['in', 'mug', 3], ['table', 0], ['pencil (1)', 0], ['pencil', 2], ['none', 1]], [['below', 'mug', 4], ['table', 3], ['pencil (1)', 0], ['pencil', 0], ['none', 1]], [['on', 'mug', 2], ['table', 0], ['pencil (1)', 2], ['pencil', 0]], [['against', 'mug', 1], ['table', 0], ['pencil (1)', 0], ['pencil', 1]], [['inside', 'mug', 3], ['table', 0], ['pencil (1)', 0], ['pencil', 1], ['none', 2]], [['under', 'mug', 2], ['table', 2], ['pencil (1)', 0], ['pencil', 0]]]"
compsvo16,7,"[[['on top of', 'table', 6], ['balloon', 0], ['book', 6]], [['over', 'table', 3], ['balloon', 3], ['book', 0]], [['above', 'table', 4], ['balloon', 4], ['book', 0]], [['in', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]], [['below', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]], [['on', 'table', 3], ['balloon', 0], ['book', 3]], [['against', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]], [['inside', 'table', 2], ['balloon', 0], ['book', 0], ['none', 2]], [['under', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]]]"
compsvu67a,4,"[[['on top of', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['over', 'balloon', 1], ['box', 0], ['table', 0], ['none', 1]], [['in', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['below', 'balloon', 3], ['box', 0], ['table', 2], ['none', 1]], [['on', 'balloon', 4], ['box', 0], ['table', 0], ['none', 4]], [['against', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['inside', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['under', 'balloon', 1], ['box', 0], ['table', 1]]]"
compsvu53,3,"[[['on top of', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['over', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['above', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['in', 'book', 3], ['box', 0], ['table', 0], ['none', 3]], [['below', 'book', 3], ['box', 3], ['table', 0]], [['on', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['against', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['inside', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['under', 'book', 3], ['box', 2], ['table', 1]]]"
compsvu16,4,"[[['on top of', 'balloon', 3], ['book', 0], ['table', 0], ['none', 3]], [['over', 'balloon', 1], ['book', 0], ['table', 0], ['none', 1]], [['above', 'balloon', 2], ['book', 0], ['table', 0], ['none', 2]], [['in', 'balloon', 3], ['book', 0], ['table', 0], ['none', 3]], [['on', 'balloon', 4], ['book', 0], ['table', 0], ['none', 4]], [['against', 'balloon', 1], ['book', 0], ['table', 0], ['none', 1]], [['inside', 'balloon', 3], ['book', 0], ['table', 0], ['none', 3]], [['under', 'balloon', 3], ['book', 0], ['table', 3]]]"
compsvi12,3,"[[['on top of', 'cup', 2], ['pencil', 1], ['table', 0], ['cube', 0], ['none', 1]], [['on top of', 'table', 1], ['pencil', 0], ['cup', 1], ['cube', 0]], [['over', 'cup', 1], ['pencil', 0], ['table', 0], ['cube', 0], ['none', 1]], [['over', 'table', 2], ['pencil', 0], ['cup', 0], ['cube', 0], ['none', 2]], [['above', 'table', 3], ['pencil', 0], ['cup', 3], ['cube', 0]], [['in', 'table', 2], ['pencil', 0], ['cup', 0], ['cube', 0], ['none', 2]], [['in', 'cup', 1], ['pencil', 1], ['table', 0], ['cube', 0]], [['below', 'cup', 2], ['pencil', 0], ['table', 2], ['cube', 0]], [['below', 'table', 1], ['pencil', 0], ['cup', 0], ['cube', 0], ['none', 1]], [['on', 'table', 2], ['pencil', 0], ['cup', 2], ['cube', 0]], [['on', 'cup', 1], ['pencil', 1], ['table', 0], ['cube', 0]], [['against', 'table', 2], ['pencil', 0], ['cup', 0], ['cube', 1], ['none', 1]], [['against', 'cup', 1], ['pencil', 0], ['table', 0], ['cube', 1]], [['inside', 'table', 2], ['pencil', 0], ['cup', 0], ['cube', 0], ['none', 2]], [['inside', 'cup', 1], ['pencil', 1], ['table', 0], ['cube', 0]], [['under', 'cup', 3], ['pencil', 0], ['table', 2], ['cube', 0], ['none', 1]]]"
compsvo78,3,"[[['on top of', 'table', 1], ['box', 0], ['box (1)', 0], ['none', 1]], [['over', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['above', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['in', 'table', 1], ['box', 0], ['box (1)', 0], ['none', 1]], [['below', 'table', 3], ['box', 0], ['box (1)', 3]], [['on', 'table', 1], ['box', 0], ['box (1)', 0], ['none', 1]], [['against', 'table', 2], ['box', 2], ['box (1)', 0]], [['inside', 'table', 1], ['box', 0], ['box (1)', 1]], [['under', 'table', 2], ['box', 0], ['box (1)', 2]]]"
compsvu17,4,"[[['on top of', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['over', 'table', 3], ['box', 0], ['box (1)', 0], ['none', 3]], [['above', 'table', 4], ['box', 0], ['box (1)', 0], ['none', 4]], [['in', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['below', 'table', 2], ['box', 2], ['box (1)', 0]], [['on', 'table', 3], ['box', 0], ['box (1)', 0], ['none', 3]], [['against', 'table', 1], ['box', 0], ['box (1)', 1]], [['inside', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['under', 'table', 1], ['box', 1], ['box (1)', 0]]]"
compsvo67,3,"[[['on top of', 'table', 3], ['balloon', 0], ['box', 0], ['none', 3]], [['over', 'table', 1], ['balloon', 0], ['box', 0], ['none', 1]], [['above', 'table', 2], ['balloon', 2], ['box', 0]], [['in', 'table', 3], ['balloon', 0], ['box', 0], ['none', 3]], [['below', 'table', 1], ['balloon', 0], ['box', 1]], [['on', 'table', 1], ['balloon', 0], ['box', 0], ['none', 1]], [['against', 'table', 1], ['balloon', 0], ['box', 0], ['none', 1]], [['inside', 'table', 2], ['balloon', 0], ['box', 0], ['none', 2]], [['under', 'table', 1], ['balloon', 0], ['box', 1]]]"
compsva25,3,"[[['on top of', 'bin', 2], ['picture', 2], ['table', 0]], [['over', 'bin', 2], ['picture', 1], ['table', 1]], [['above', 'bin', 1], ['picture', 1], ['table', 0]], [['in', 'bin', 2], ['picture', 1], ['table', 0], ['none', 1]], [['below', 'bin', 2], ['picture', 0], ['table', 0], ['none', 2]], [['on', 'bin', 1], ['picture', 1], ['table', 0]], [['inside', 'bin', 2], ['picture', 0], ['table', 0], ['none', 2]], [['under', 'bin', 3], ['picture', 0], ['table', 0], ['none', 3]]]"
compsvo12v,3,"[[['on top of', 'board', 2], ['book', 2], ['table', 0], ['clock', 0]], [['over', 'board', 2], ['book', 2], ['table', 0], ['clock', 0]], [['above', 'board', 2], ['book', 1], ['table', 0], ['clock', 0], ['none', 1]], [['below', 'board', 1], ['book', 0], ['table', 0], ['clock', 0], ['none', 1]], [['on', 'board', 3], ['book', 0], ['table', 0], ['clock', 3]], [['against', 'board', 2], ['book', 0], ['table', 0], ['clock', 1], ['none', 1]], [['under', 'board', 3], ['book', 0], ['table', 2], ['clock', 0], ['none', 1]]]"
compsvu63,3,"[[['on top of', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['over', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['above', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['in', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['below', 'book', 2], ['box', 2], ['table', 0]], [['on', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['against', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['inside', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['under', 'book', 1], ['box', 0], ['table', 1]]]"
compsvo34v,4,"[[['on top of', 'board', 1], ['jar', 0], ['book', 0], ['table', 0], ['none', 1]], [['above', 'board', 3], ['jar', 0], ['book', 0], ['table', 0], ['none', 3]], [['in', 'board', 2], ['jar', 0], ['book', 0], ['table', 0], ['none', 2]], [['below', 'board', 3], ['jar', 0], ['book', 0], ['table', 2], ['none', 1]], [['on', 'board', 1], ['jar', 0], ['book', 0], ['table', 0], ['none', 1]], [['against', 'board', 2], ['jar', 2], ['book', 0], ['table', 0]], [['inside', 'board', 3], ['jar', 0], ['book', 0], ['table', 0], ['none', 3]], [['under', 'board', 4], ['jar', 0], ['book', 0], ['table', 2], ['none', 2]]]"
compsvo23v,4,"[[['on top of', 'board', 3], ['jar', 0], ['table', 0], ['clock', 0], ['none', 3]], [['over', 'board', 3], ['jar', 0], ['table', 0], ['clock', 0], ['none', 3]], [['above', 'board', 2], ['jar', 0], ['table', 0], ['clock', 0], ['none', 2]], [['in', 'board', 1], ['jar', 0], ['table', 0], ['clock', 0], ['none', 1]], [['below', 'board', 3], ['jar', 1], ['table', 1], ['clock', 0], ['none', 1]], [['on', 'board', 1], ['jar', 0], ['table', 0], ['clock', 1]], [['against', 'board', 1], ['jar', 1], ['table', 0], ['clock', 0]], [['inside', 'board', 3], ['jar', 0], ['table', 0], ['clock', 0], ['none', 3]], [['under', 'board', 3], ['jar', 1], ['table', 1], ['clock', 0], ['none', 1]]]"
compsvi45,3,"[[['on top of', 'mug', 2], ['table', 0], ['pencil', 0], ['cup', 0], ['none', 2]], [['over', 'mug', 1], ['table', 0], ['pencil', 0], ['cup', 1]], [['above', 'mug', 3], ['table', 0], ['pencil', 0], ['cup', 0], ['none', 3]], [['in', 'mug', 1], ['table', 0], ['pencil', 0], ['cup', 0], ['none', 1]], [['below', 'mug', 2], ['table', 2], ['pencil', 0], ['cup', 0]], [['on', 'mug', 1], ['table', 0], ['pencil', 1], ['cup', 0]], [['against', 'mug', 3], ['table', 0], ['pencil', 3], ['cup', 0]], [['inside', 'mug', 1], ['table', 0], ['pencil', 0], ['cup', 0], ['none', 1]], [['under', 'mug', 1], ['table', 1], ['pencil', 0], ['cup', 0]]]"
compsvi15,4,"[[['on top of', 'box', 1], ['jar', 0], ['pencil', 0], ['table', 0], ['pear', 0], ['none', 1]], [['over', 'box', 2], ['jar', 0], ['pencil', 1], ['table', 0], ['pear', 0], ['none', 1]], [['in', 'box', 2], ['jar', 0], ['pencil', 0], ['table', 0], ['pear', 2]], [['below', 'box', 2], ['jar', 0], ['pencil', 0], ['table', 2], ['pear', 0]], [['on', 'box', 4], ['jar', 1], ['pencil', 0], ['table', 0], ['pear', 1], ['none', 2]], [['against', 'box', 3], ['jar', 2], ['pencil', 0], ['table', 0], ['pear', 1]], [['inside', 'box', 3], ['jar', 0], ['pencil', 0], ['table', 0], ['pear', 3]], [['under', 'box', 3], ['jar', 0], ['pencil', 0], ['table', 2], ['pear', 0], ['none', 1]]]"
compsvo12,3,"[[['on top of', 'table', 2], ['box', 0], ['book (1)', 1], ['book', 1]], [['over', 'table', 1], ['box', 0], ['book (1)', 0], ['book', 0], ['none', 1]], [['in', 'table', 3], ['box', 1], ['book (1)', 0], ['book', 0], ['none', 2]], [['below', 'table', 1], ['box', 1], ['book (1)', 0], ['book', 0]], [['on', 'table', 2], ['box', 0], ['book (1)', 1], ['book', 1]], [['against', 'table', 1], ['box', 0], ['book (1)', 0], ['book', 0], ['none', 1]], [['inside', 'table', 3], ['box', 0], ['book (1)', 0], ['book', 0], ['none', 3]], [['under', 'table', 2], ['box', 2], ['book (1)', 0], ['book', 0]]]"
compsvul,3,"[[['on top of', 'lamp', 3], ['pencil', 2], ['bowl', 0], ['table', 0], ['none', 1]], [['above', 'lamp', 2], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 2]], [['in', 'lamp', 2], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 2]], [['on', 'lamp', 3], ['pencil', 3], ['bowl', 0], ['table', 0]], [['against', 'lamp', 2], ['pencil', 2], ['bowl', 0], ['table', 0]], [['inside', 'lamp', 1], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 1]], [['under', 'lamp', 2], ['pencil', 0], ['bowl', 1], ['table', 1]]]"
compsvi3,6,"[[['on top of', 'mug', 2], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 1]], [['over', 'mug', 2], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 1]], [['above', 'mug', 3], ['table', 0], ['pencil', 0], ['pear', 0], ['none', 3]], [['in', 'mug', 6], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 5]], [['below', 'mug', 2], ['table', 1], ['pencil', 0], ['pear', 0], ['none', 1]], [['on', 'mug', 4], ['table', 0], ['pencil', 3], ['pear', 0], ['none', 1]], [['against', 'mug', 5], ['table', 0], ['pencil', 3], ['pear', 2]], [['inside', 'mug', 4], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 3]], [['under', 'mug', 2], ['table', 0], ['pencil', 0], ['pear', 0], ['none', 2]]]"
compsva34,4,"[[['on top of', 'bin', 3], ['balloon', 0], ['table', 0], ['none', 3]], [['over', 'bin', 3], ['balloon', 0], ['table', 3]], [['above', 'bin', 3], ['balloon', 1], ['table', 2]], [['in', 'bin', 3], ['balloon', 0], ['table', 0], ['none', 3]], [['below', 'bin', 1], ['balloon', 0], ['table', 0], ['none', 1]], [['against', 'bin', 3], ['balloon', 0], ['table', 2], ['none', 1]], [['inside', 'bin', 2], ['balloon', 0], ['table', 0], ['none', 2]], [['under', 'bin', 2], ['balloon', 0], ['table', 0], ['none', 2]]]"
compsvu25,3,"[[['on top of', 'book', 2], ['book (1)', 2], ['cube', 0], ['table', 0]], [['over', 'book', 3], ['book (1)', 3], ['cube', 0], ['table', 0]], [['above', 'book', 2], ['book (1)', 1], ['cube', 0], ['table', 0], ['none', 1]], [['below', 'book', 2], ['book (1)', 0], ['cube', 1], ['table', 1]], [['on', 'book', 1], ['book (1)', 1], ['cube', 0], ['table', 0]], [['against', 'book', 2], ['book (1)', 0], ['cube', 1], ['table', 0], ['none', 1]], [['inside', 'book', 2], ['book (1)', 0], ['cube', 0], ['table', 0], ['none', 2]], [['under', 'book', 1], ['book (1)', 0], ['cube', 1], ['table', 0]]]"
compsvu15,5,"[[['on top of', 'balloon', 2], ['book', 1], ['table', 0], ['none', 1]], [['over', 'balloon', 5], ['book', 0], ['table', 0], ['none', 5]], [['above', 'balloon', 1], ['book', 0], ['table', 0], ['none', 1]], [['in', 'balloon', 3], ['book', 0], ['table', 0], ['none', 3]], [['below', 'balloon', 2], ['book', 2], ['table', 0]], [['on', 'balloon', 3], ['book', 0], ['table', 0], ['none', 3]], [['against', 'balloon', 3], ['book', 0], ['table', 0], ['none', 3]], [['inside', 'balloon', 4], ['book', 0], ['table', 1], ['none', 3]], [['under', 'balloon', 2], ['book', 2], ['table', 0]]]"
compsva12,4,"[[['on top of', 'book', 1], ['box', 0], ['table', 0], ['pear', 1]], [['over', 'book', 1], ['box', 0], ['table', 0], ['pear', 0], ['none', 1]], [['above', 'book', 1], ['box', 0], ['table', 0], ['pear', 1]], [['in', 'book', 1], ['box', 0], ['table', 0], ['pear', 0], ['none', 1]], [['below', 'book', 3], ['box', 0], ['table', 3], ['pear', 0]], [['on', 'book', 3], ['box', 0], ['table', 0], ['pear', 3]], [['against', 'book', 4], ['box', 0], ['table', 0], ['pear', 1], ['none', 3]], [['inside', 'book', 3], ['box', 0], ['table', 0], ['pear', 0], ['none', 3]], [['under', 'book', 3], ['box', 0], ['table', 3], ['pear', 0]]]"
compsvo29,3,"[[['on top of', 'table', 2], ['box', 0], ['book', 2]], [['above', 'table', 1], ['box', 0], ['book', 0], ['none', 1]], [['in', 'table', 1], ['box', 0], ['book', 0], ['none', 1]], [['below', 'table', 2], ['box', 0], ['book', 0], ['none', 2]], [['on', 'table', 1], ['box', 0], ['book', 1]], [['against', 'table', 3], ['box', 0], ['book', 0], ['none', 3]], [['inside', 'table', 2], ['box', 0], ['book', 0], ['none', 2]], [['under', 'table', 3], ['box', 0], ['book', 0], ['none', 3]]]"
compsvo27,6,"[[['on top of', 'table', 3], ['box', 0], ['book', 3]], [['over', 'table', 3], ['box', 0], ['book', 0], ['none', 3]], [['above', 'table', 4], ['box', 0], ['book', 2], ['none', 2]], [['in', 'table', 5], ['box', 1], ['book', 0], ['none', 4]], [['below', 'table', 3], ['box', 3], ['book', 0]], [['on', 'table', 6], ['box', 0], ['book', 5], ['none', 1]], [['against', 'table', 2], ['box', 0], ['book', 0], ['none', 2]], [['inside', 'table', 3], ['box', 1], ['book', 0], ['none', 2]], [['under', 'table', 1], ['box', 1], ['book', 0]]]"
compsva13,7,"[[['on top of', 'book', 6], ['balloon', 0], ['table', 0], ['pear', 6]], [['over', 'book', 5], ['balloon', 3], ['table', 0], ['pear', 0], ['none', 2]], [['above', 'book', 2], ['balloon', 1], ['table', 0], ['pear', 1]], [['below', 'book', 5], ['balloon', 0], ['table', 4], ['pear', 0], ['none', 1]], [['on', 'book', 5], ['balloon', 0], ['table', 0], ['pear', 5]], [['against', 'book', 3], ['balloon', 0], ['table', 0], ['pear', 0], ['none', 3]], [['inside', 'book', 5], ['balloon', 0], ['table', 0], ['pear', 0], ['none', 5]], [['under', 'book', 4], ['balloon', 0], ['table', 4], ['pear', 0]]]"
compsvo79,3,"[[['on top of', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['over', 'table', 1], ['box', 0], ['box (1)', 0], ['none', 1]], [['above', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['in', 'table', 2], ['box', 0], ['box (1)', 1], ['none', 1]], [['below', 'table', 2], ['box', 0], ['box (1)', 2]], [['on', 'table', 3], ['box', 0], ['box (1)', 0], ['none', 3]], [['under', 'table', 2], ['box', 0], ['box (1)', 2]]]"
compsvi14,3,"[[['on top of', 'bowl', 1], ['ball', 0], ['table', 0], ['pencil', 1]], [['over', 'bowl', 2], ['ball', 0], ['table', 0], ['pencil', 0], ['none', 2]], [['above', 'bowl', 2], ['ball', 0], ['table', 0], ['pencil', 2]], [['in', 'bowl', 2], ['ball', 2], ['table', 0], ['pencil', 0]], [['below', 'bowl', 2], ['ball', 0], ['table', 1], ['pencil', 0], ['none', 1]], [['on', 'bowl', 1], ['ball', 0], ['table', 0], ['pencil', 1]], [['against', 'bowl', 2], ['ball', 0], ['table', 0], ['pencil', 0], ['none', 2]], [['inside', 'bowl', 1], ['ball', 1], ['table', 0], ['pencil', 0]], [['under', 'bowl', 2], ['ball', 0], ['table', 2], ['pencil', 0]]]"
compsvi36,5,"[[['on top of', 'mug', 2], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 1]], [['over', 'mug', 2], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 1]], [['above', 'mug', 3], ['table', 0], ['pencil', 0], ['pear', 0], ['none', 3]], [['in', 'mug', 3], ['table', 0], ['pencil', 1], ['pear', 0], ['none', 2]], [['below', 'mug', 4], ['table', 4], ['pencil', 0], ['pear', 0]], [['on', 'mug', 2], ['table', 0], ['pencil', 2], ['pear', 0]], [['against', 'mug', 3], ['table', 0], ['pencil', 2], ['pear', 1]], [['inside', 'mug', 4], ['table', 0], ['pencil', 2], ['pear', 0], ['none', 2]], [['under', 'mug', 2], ['table', 2], ['pencil', 0], ['pear', 0]]]"
compsvi16,6,"[[['on top of', 'bowl', 5], ['table', 0], ['pear', 0], ['pencil', 3], ['none', 2]], [['over', 'bowl', 4], ['table', 0], ['pear', 0], ['pencil', 1], ['none', 3]], [['above', 'bowl', 3], ['table', 0], ['pear', 0], ['pencil', 1], ['none', 2]], [['in', 'bowl', 3], ['table', 0], ['pear', 0], ['pencil', 3]], [['below', 'bowl', 3], ['table', 3], ['pear', 0], ['pencil', 0]], [['on', 'bowl', 5], ['table', 0], ['pear', 0], ['pencil', 2], ['none', 3]], [['against', 'bowl', 2], ['table', 0], ['pear', 2], ['pencil', 0]], [['inside', 'bowl', 3], ['table', 0], ['pear', 0], ['pencil', 3]], [['under', 'bowl', 2], ['table', 2], ['pear', 0], ['pencil', 0]]]"
