scene,preposition,ground,f1,f2,weight,parity,weak,lhs,rhs
compsvi16,in,bowl,pencil,table,3,False,False,"[1.6837178985981087, -0.602573893987224, 1.140641600930798, 0.4045081785115099, -0.7484621051199398, 1.404211572196866, -0.40095943166641446, 0.1249196150102115, 0.8150528044462415, 1.5380612075484656]","[-0.6282480394372745, -0.547616997723536, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570204456715259, -0.3997411651548879, 1.4779347335894955, -0.8247722542432357, -0.804176372764702]"
compsvi16,in,bowl,pencil,pear,3,False,False,"[1.6837178985981087, -0.602573893987224, 1.140641600930798, 0.4045081785115099, -0.7484621051199398, 1.404211572196866, -0.40095943166641446, 0.1249196150102115, 0.8150528044462415, 1.5380612075484656]","[-0.6282480394372745, -0.602573893987224, 0.001892861481618648, -0.03688995085073594, -0.7399214387497114, -0.036945906792150686, -0.39928500552593466, -0.8535032277964343, -0.635617031531076, 1.3286033625950897]"
compsvi24a,in,cup,pear,table,3,False,False,"[1.658870738268855, -0.602573893987224, 0.46164800611638757, 0.8851681815221152, -0.7484621051199398, 0.350671120782037, -0.39904518449257237, 1.4779347335894955, 0.0783016480844676, 1.6362084526014005]","[-0.6282480394372745, -0.5498372105719178, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40053696350930423, 1.4779347335894955, -0.8455286041661271, -0.7201865047589698]"
compsvi24a,in,cup,pear,cube,3,False,False,"[1.658870738268855, -0.602573893987224, 0.46164800611638757, 0.8851681815221152, -0.7484621051199398, 0.350671120782037, -0.39904518449257237, 1.4779347335894955, 0.0783016480844676, 1.6362084526014005]","[0.3039003289133649, -0.599122666349585, 3.923395387887143, -0.9059561524155018, -0.7484621051199398, 2.533492918909162, -0.40088480357203554, -0.6306029860479994, 0.5404352191710695, 1.7367123222135787]"
compsvi25,in,box,pencil,jar,1,False,False,"[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]","[-0.6282480394372745, -0.602573893987224, 1.28474854719379, -0.9059561524155018, -0.2949090192236393, 0.3861837532732935, -0.3969216003099164, -0.8067330768266621, -0.5095698503829579, -0.1571818854868902]"
compsvi25,in,box,pencil,table,1,False,False,"[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]","[-0.6282480394372745, -0.3398235903161663, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.39069916362067586, 1.4779347335894955, -0.6761177829943358, -0.8036004921463539]"
compsvi25,in,box,pencil,pencil (1),1,False,False,"[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]","[1.6837178985981087, -0.5053391764540857, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.4162092088765017, -0.39585257413060193, -0.6551023168095018, -0.00708765957385744, 1.8432595489531811]"
compsvi3,in,mug,pencil,table,1,False,False,"[1.1372995457254493, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8044619555084103, -0.4006176982175255, -0.4660006979035654, 0.20477252368801033, 0.777097086074642]","[-0.6282480394372745, -0.5410823328571932, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570417449903448, -0.3973835918288406, 1.4779347335894955, -0.8412654846033387, -0.8034636797315002]"
compsvi3,in,mug,pencil,pear,1,False,False,"[1.1372995457254493, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8044619555084103, -0.4006176982175255, -0.4660006979035654, 0.20477252368801033, 0.777097086074642]","[-0.6282480394372745, -0.602573893987224, -0.23216432722992095, -0.9059561524155018, -0.7313807699966368, -0.26148853626115853, -0.39920060629627246, -0.8964999462487252, -0.8290820617680997, 1.1099734573866893]"
compsvi34,in,mug,pencil,table,2,False,False,"[1.1395673531140684, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.8905519156985907]","[-0.6282480394372745, -0.5410777919455153, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570428063464443, -0.397362976475769, 1.4779347335894955, -0.8403637783512053, -0.8038937429554549]"
compsvi34,in,mug,pencil,pencil (1),2,False,False,"[1.1395673531140684, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.8905519156985907]","[1.5698253701654223, -0.5758579264481054, -0.23748380084082227, 0.874931237546199, -0.7484621051199398, -0.3402950171975617, -0.40163956149885593, 0.7479102415518415, 0.6975558061987005, 1.8432595489531811]"
compsvi36,in,mug,pencil,table,1,False,False,"[1.1374475115454838, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8043674666534697, -0.4006176982175255, -0.4660016534436363, 0.20477636236937302, 0.7767120513239466]","[-0.6282480394372745, -0.5410823328571932, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570430989931644, -0.3973835918288406, 1.4779347335894955, -0.8412652926692705, -0.8035328959355058]"
compsvi36,in,mug,pencil,pear,1,False,False,"[1.1374475115454838, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8043674666534697, -0.4006176982175255, -0.4660016534436363, 0.20477636236937302, 0.7767120513239466]","[-0.6282480394372745, -0.602573893987224, -0.23216432722992095, -0.9059561524155018, -0.7313807699966368, -0.26483755419434696, -0.39920060445248806, -0.8970049061768655, -0.8307276324930779, 1.1099734573866893]"
compsvi46,in,bowl,pencil,ball,1,False,False,"[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.24913280976760094, -0.40111623428023124, 0.574265916601986, 0.44153183377483207, 1.8432595489531811]","[-0.05199746527976937, -0.5893852876880554, -0.05551769862119792, -0.5614577057452173, -0.7484621051199398, 0.0799053757614312, -0.39950818087397977, -0.817084537968171, -0.5798443501750623, 1.1811230152271501]"
compsvi46,in,bowl,pencil,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.24913280976760094, -0.40111623428023124, 0.574265916601986, 0.44153183377483207, 1.8432595489531811]","[-0.6282480394372745, -0.47343335408452614, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3569196137454828, -0.4011621133511566, 1.4779347335894955, -0.8229110455926996, -0.8043625404104732]"
compsvinew1,in,plate,cube,table,2,False,False,"[1.6837088819309503, -0.6025087611129639, 3.048815686243471, 0.20289826438651715, -0.7484621051199398, 0.49296399262890556, -0.38669885954503, -0.8255476369331674, 1.5231088579503727, 1.1138850755430465]","[-0.6282480394372745, -0.5387277969117628, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570104571224837, -0.38366456019687173, 1.4779347335894955, -0.6693504036774585, -0.8044724737579549]"
compsvinew1,in,plate,cube,pencil,2,False,False,"[1.6837088819309503, -0.6025087611129639, 3.048815686243471, 0.20289826438651715, -0.7484621051199398, 0.49296399262890556, -0.38669885954503, -0.8255476369331674, 1.5231088579503727, 1.1138850755430465]","[-0.6282480394372745, -0.602573893987224, 2.147733420984951, -0.9059561524155018, -0.20690622078302562, 1.9205446960698391, -0.38730802562015504, -0.5714271061154047, 0.32099939823961804, 0.24096050291216473]"
compsvinew2,in,shelf,mug,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.0920751687723476, -0.9059561524155018, -0.7484621051199398, 3.938588212351634, -0.023493765402384677, -0.580255340829974, 1.228999648302576, 1.117380118411612]","[-0.6282480394372745, -0.24699883042724388, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.020405242199608556, 1.4779347335894955, -0.5548535748325699, -0.782103731795455]"
compsvinew2,in,shelf,mug,box,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.0920751687723476, -0.9059561524155018, -0.7484621051199398, 3.938588212351634, -0.023493765402384677, -0.580255340829974, 1.228999648302576, 1.117380118411612]","[-0.5505560193460927, -0.602573893987224, -0.06612572070475049, -0.9059561524155018, -0.712556211329916, 4.456150670497951, -0.02225400479015457, -0.7117401389829123, 1.5231088579503727, 0.07144747403429257]"
compsvo12,in,table,box,book (1),1,False,False,"[1.6837178985981087, -0.5722090519676662, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.39684905476998655, -0.6727062076462421, 1.5231088579503727, 1.8432595489531811]","[1.68169261643639, -0.6025681229689394, 2.366598040816922, 1.3039272737982808, -0.7484621051199398, -0.356070573858245, -0.3974507221740677, -0.7250892726576835, 1.5231088579503727, 0.8258756388918188]"
compsvo12,in,table,box,book,1,False,False,"[1.6837178985981087, -0.5722090519676662, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.39684905476998655, -0.6727062076462421, 1.5231088579503727, 1.8432595489531811]","[1.6837178985981087, -0.602417956677921, 1.0400187574335287, 1.256453446109969, -0.7484621051199398, -0.3325802616688437, -0.38515296619447204, -0.8259465988012484, 0.4858143821414961, 1.346310855855447]"
compsvo17,in,table,box,book,1,False,False,"[-0.6282480394372745, -0.45506712412024225, -0.4495031203312162, -0.9059561524155018, -0.6252114358610876, 4.538751554580004, -0.39130484125576775, -0.7191769162463121, 1.5231088579503727, -0.8052941218451248]","[0.7522668191743811, -0.602573893987224, 2.366598040816922, 1.2449763593543017, -0.7484621051199398, -0.33778405176235204, -0.39400296155546005, -0.7251406329364917, 1.5231088579503727, 0.9897861572229473]"
compsvo27,in,table,box,book,1,False,False,"[-0.6282480394372745, -0.45504723199747316, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.39130507172881435, -0.7191915598978978, 1.5231088579503727, -0.805294103915682]","[1.6837178985981087, -0.602573893987224, 1.0581232569213144, 1.249149865608261, -0.7484621051199398, -0.3458062045047488, -0.3843038942719036, -0.803793644460718, 0.5074499100552726, 1.5070861385123828]"
compsvo79,in,table,box (1),box,1,False,False,"[-0.6282480394372745, -0.28299185415744577, -0.4495031203312162, -0.9059561524155018, -0.6046696576512788, 2.7113395479302667, -0.3910193662775521, -0.7299453750747392, 0.6305957678458319, 0.8229064018625091]","[-0.6282480394372745, 0.1917027482299301, -0.4495031203312162, -0.9059561524155018, -0.6046696576512788, -0.3570435486078057, -0.37383519820304684, -0.910915443531762, -0.8760669938306926, 0.9526864201954924]"
compsva24,inside,bin,picture,table,1,False,False,"[1.6837178985981087, -0.2108593256751787, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.38666351972995766, 1.4779347335894955, 0.3336526516819114, -0.1879105766459476]","[-0.6282480394372745, -0.387744065621221, -0.4495031203312162, 0.8026561066590434, -0.7484621051199398, -0.1790970453566087, -0.3917525637274314, 1.359682111006657, -0.7066944874972544, -0.7990253522920698]"
compsvi12,inside,cup,pencil,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.412757657805914, 0.4045081785115099, -0.7484621051199398, 1.9900645039075768, -0.4015535290449964, 0.2737700639717257, 1.02542573859759, 1.2786349232808496]","[-0.6282480394372745, -0.5299117194261036, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40086257066693376, 1.4779347335894955, -0.845032142707118, -0.7598571204721695]"
compsvi12,inside,cup,pencil,cube,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.412757657805914, 0.4045081785115099, -0.7484621051199398, 1.9900645039075768, -0.4015535290449964, 0.2737700639717257, 1.02542573859759, 1.2786349232808496]","[0.28855026226437286, -0.602573893987224, 3.048815686243471, -0.9059561524155018, -0.7484621051199398, 1.9493280575188372, -0.40072889629991015, -0.5704806436752293, 0.2541665162068937, 1.8432595489531811]"
compsvi13,inside,mug,pencil (1),table,2,False,False,"[1.3323832315768749, -0.602573893987224, 1.9887187389596213, 0.4045081785115099, -0.7484621051199398, 2.6024360020260717, -0.40196233457552616, 0.3981407707431898, 1.5064904865778408, 1.8432595489531811]","[-0.6282480394372745, -0.5392507341598147, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570177612333655, -0.3973616932018456, 1.4779347335894955, -0.8399484570195036, -0.8045334452522412]"
compsvi13,inside,mug,pencil (1),pencil,2,False,False,"[1.3323832315768749, -0.602573893987224, 1.9887187389596213, 0.4045081785115099, -0.7484621051199398, 2.6024360020260717, -0.40196233457552616, 0.3981407707431898, 1.5064904865778408, 1.8432595489531811]","[1.1401631467363, -0.4971990209957124, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.8839843633217308, -0.4006232782465512, -0.44035663013718646, 0.2345791647177827, 0.7976064735740364]"
compsvi14,inside,bowl,ball,table,1,False,False,"[-0.05201642340046122, -0.602573893987224, 2.743137486571305, -0.5614577057452173, -0.7484621051199398, 3.1819072641816097, -0.40210918036653553, -0.15095698657965467, 1.5231088579503727, 1.221108877533312]","[-0.6282480394372745, -0.47343335408452614, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3569196137454828, -0.4011621133511566, 1.4779347335894955, -0.8229110455926996, -0.802639558303588]"
compsvi14,inside,bowl,ball,pencil,1,False,False,"[-0.05201642340046122, -0.602573893987224, 2.743137486571305, -0.5614577057452173, -0.7484621051199398, 3.1819072641816097, -0.40210918036653553, -0.15095698657965467, 1.5231088579503727, 1.221108877533312]","[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.06817167142220154, -0.4011162352021234, 0.5742656777169683, 0.44153159385724705, 1.2154070458986845]"
compsvi14a,inside,bowl,cube,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.1742359845997994, 0.20289826438651715, -0.7484621051199398, 2.0920581239121403, -0.4018285263497571, -0.44807070512914643, 1.5231088579503727, 1.082308431920464]","[-0.6282480394372745, -0.49261618644949345, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570323175499042, -0.4010707232286667, 1.4779347335894955, -0.8201269939507758, -0.8023973307237545]"
compsvi14a,inside,bowl,cube,pear,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.1742359845997994, 0.20289826438651715, -0.7484621051199398, 2.0920581239121403, -0.4018285263497571, -0.44807070512914643, 1.5231088579503727, 1.082308431920464]","[1.6837178985981087, -0.6000361548136733, 0.8127336842341327, 1.261410468894841, -0.7484621051199398, 0.6902591696422785, -0.4013988023480048, 0.15002141378638398, 0.9553426930384576, 1.484210770407266]"
compsvi15,inside,box,pear,jar,3,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282283142710193, -0.6015652851419684, 1.205241556013006, -0.9059561524155018, -0.30167844692794665, 0.34900655028049604, -0.3903380455447842, -0.8140210765010307, -0.530058572239583, -0.30109739255194207]"
compsvi15,inside,box,pear,pencil,3,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282480394372745, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9722149227559058, -0.38980941965862914, -0.8655263107378854, 0.2653819435612145, -0.13761440224089333]"
compsvi15,inside,box,pear,table,3,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282480394372745, -0.3329008093342945, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570416453888105, -0.39059051862651223, 1.4779347335894955, -0.6758102566336546, -0.8031501697379632]"
compsvi16,inside,bowl,pencil,table,3,False,False,"[1.6837178985981087, -0.602573893987224, 1.140641600930798, 0.4045081785115099, -0.7484621051199398, 1.404211572196866, -0.40095943166641446, 0.1249196150102115, 0.8150528044462415, 1.5380612075484656]","[-0.6282480394372745, -0.547616997723536, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570204456715259, -0.3997411651548879, 1.4779347335894955, -0.8247722542432357, -0.804176372764702]"
compsvi16,inside,bowl,pencil,pear,3,False,False,"[1.6837178985981087, -0.602573893987224, 1.140641600930798, 0.4045081785115099, -0.7484621051199398, 1.404211572196866, -0.40095943166641446, 0.1249196150102115, 0.8150528044462415, 1.5380612075484656]","[-0.6282480394372745, -0.602573893987224, 0.001892861481618648, -0.03688995085073594, -0.7399214387497114, -0.036945906792150686, -0.39928500552593466, -0.8535032277964343, -0.635617031531076, 1.3286033625950897]"
compsvi23,inside,table,box,box (1),2,False,False,"[1.6837178985981087, -0.602573893987224, 0.5281090668036933, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.38864969035088215, -0.7964364397967181, 1.5231088579503727, 1.727633845068549]","[-0.6282480394372745, -0.3959606841730068, -0.4495031203312162, -0.9059561524155018, -0.6252114358610876, 4.538744700466174, -0.3923947003547098, -0.7191271087201191, 1.5231088579503727, -0.8041443245591213]"
compsvi24a,inside,cup,pear,table,3,False,False,"[1.658870738268855, -0.602573893987224, 0.46164800611638757, 0.8851681815221152, -0.7484621051199398, 0.350671120782037, -0.39904518449257237, 1.4779347335894955, 0.0783016480844676, 1.6362084526014005]","[-0.6282480394372745, -0.5498372105719178, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40053696350930423, 1.4779347335894955, -0.8455286041661271, -0.7201865047589698]"
compsvi24a,inside,cup,pear,cube,3,False,False,"[1.658870738268855, -0.602573893987224, 0.46164800611638757, 0.8851681815221152, -0.7484621051199398, 0.350671120782037, -0.39904518449257237, 1.4779347335894955, 0.0783016480844676, 1.6362084526014005]","[0.3039003289133649, -0.599122666349585, 3.923395387887143, -0.9059561524155018, -0.7484621051199398, 2.533492918909162, -0.40088480357203554, -0.6306029860479994, 0.5404352191710695, 1.7367123222135787]"
compsvi25,inside,box,pencil,jar,1,False,False,"[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]","[-0.6282480394372745, -0.602573893987224, 1.28474854719379, -0.9059561524155018, -0.2949090192236393, 0.3861837532732935, -0.3969216003099164, -0.8067330768266621, -0.5095698503829579, -0.1571818854868902]"
compsvi25,inside,box,pencil,table,1,False,False,"[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]","[-0.6282480394372745, -0.3398235903161663, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.39069916362067586, 1.4779347335894955, -0.6761177829943358, -0.8036004921463539]"
compsvi25,inside,box,pencil,pencil (1),1,False,False,"[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]","[1.6837178985981087, -0.5053391764540857, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.4162092088765017, -0.39585257413060193, -0.6551023168095018, -0.00708765957385744, 1.8432595489531811]"
compsvi3,inside,mug,pencil,table,1,False,False,"[1.1372995457254493, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8044619555084103, -0.4006176982175255, -0.4660006979035654, 0.20477252368801033, 0.777097086074642]","[-0.6282480394372745, -0.5410823328571932, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570417449903448, -0.3973835918288406, 1.4779347335894955, -0.8412654846033387, -0.8034636797315002]"
compsvi3,inside,mug,pencil,pear,1,False,False,"[1.1372995457254493, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8044619555084103, -0.4006176982175255, -0.4660006979035654, 0.20477252368801033, 0.777097086074642]","[-0.6282480394372745, -0.602573893987224, -0.23216432722992095, -0.9059561524155018, -0.7313807699966368, -0.26148853626115853, -0.39920060629627246, -0.8964999462487252, -0.8290820617680997, 1.1099734573866893]"
compsvi34,inside,mug,pencil,table,1,False,False,"[1.1395673531140684, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.8905519156985907]","[-0.6282480394372745, -0.5410777919455153, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570428063464443, -0.397362976475769, 1.4779347335894955, -0.8403637783512053, -0.8038937429554549]"
compsvi34,inside,mug,pencil,pencil (1),1,False,False,"[1.1395673531140684, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.8905519156985907]","[1.5698253701654223, -0.5758579264481054, -0.23748380084082227, 0.874931237546199, -0.7484621051199398, -0.3402950171975617, -0.40163956149885593, 0.7479102415518415, 0.6975558061987005, 1.8432595489531811]"
compsvi36,inside,mug,pencil,table,2,False,False,"[1.1374475115454838, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8043674666534697, -0.4006176982175255, -0.4660016534436363, 0.20477636236937302, 0.7767120513239466]","[-0.6282480394372745, -0.5410823328571932, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570430989931644, -0.3973835918288406, 1.4779347335894955, -0.8412652926692705, -0.8035328959355058]"
