Preposition,Scene,Ground,Figure 1,Figure 2,Better Category Member,More Typical Configuration
over,compsvu25,book,cube,table,None,None
over,compsva12,book,box,pear,None,None
over,compsvi16,bowl,pear,pencil,None,"[pencil,bowl]"
over,compsvu16,balloon,book,table,None,None
over,compsva24,bin,picture,table,"[table,bin]","[table,bin]"
over,compsvo17,table,box,book,None,None
over,compsvi36,mug,pencil,pear,None,"[pencil,mug]"
over,compsva15,book,balloon,pear,"[balloon,book]*","[balloon,book]"
over,compsvi25,box,pencil,pencil (1),None,"[pencil,box]"
over,compsvo69a,table,box,balloon,"[balloon,table]*","[balloon,table]"
over,compsvi12,table,pencil,cube,None,None
over,compsvi12,table,pencil,cup,None,None
over,compsvu63,book,box,table,None,None
over,compsvi12,table,cube,cup,None,None
over,compsvi26,cup,cube,pencil,"[cube,cup]",None
over,compsvi12,cup,pencil,cube,None,None
over,compsvo14v,board,jar,book,None,"[book,board]"
over,compsvo18,table,box,book,None,"[book,table]"
over,compsvo78,table,box,box (1),None,None
over,compsvi3,mug,pencil,pear,None,"[pencil,mug]"
over,compsvu67,balloon,box,table,None,None
over,compsvu25a,balloon,box,table,None,None
over,compsvi24a,cup,pear,cube,None,"[pear,cup]"
over,compsvo12v,board,book,clock,None,"[book,board]"
over,compsva14,box,book,table,"[table,box]","[table,box]"
over,compsvi45,mug,pencil,cup,None,"[cup,mug]"
over,compsvu17,table,box,box (1),None,None
over,compsvula,lamp,pencil,bowl,None,"[pencil,lamp]"
over,compsvo89,table,box,box (1),None,None
over,compsva13,book,pear,balloon,"[pear,book]","[balloon,book]"
over,compsvo68,table,box,balloon,"[balloon,table]*","[balloon,table]"
over,compsvo28,table,box,book,None,None
over,compsvi14a,bowl,cube,pear,None,"[pear,bowl]"
over,compsvo26,table,balloon,book,"[balloon,table]*","[balloon,table]*"
over,compsvo27,table,box,book,None,None
over,compsvo14,table,book (1),book,"[book (1),table]",None
over,compsvi23,table,box,box (1),None,None
over,compsvinew2,shelf,mug,box,None,None
over,compsvo68a,table,box,balloon,"[balloon,table]","[balloon,table]"
over,compsvinew1,plate,cube,pencil,None,"[cube,plate]"
above,compsvo29,table,box,book,"[book,table]",None
above,compsvo23v,board,jar,clock,"[clock,board]",None
above,compsvi13,mug,pencil (1),pencil,None,None
above,compsvo14a,table,box,book,"[book,table]","[box,table]"
above,compsvu15,balloon,book,table,None,None
above,compsvo16a,table,book,balloon,"[balloon,table]","[balloon,table]"
above,compsvo13v,board,jar,book,"[book,board]*","[book,board]"
above,compsvi46,bowl,ball,pencil,"[pencil,bowl]","[pencil,bowl]"
above,compsvi26a,lamp,pencil,bowl,None,"[pencil,lamp]"
above,compsvul,lamp,pencil,bowl,None,None
above,compsvi24,cup,cube,pencil,None,"[pencil,cup]"
above,compsvo16,table,book,balloon,"[balloon,table]","[balloon,table]*"
above,compsva34,bin,balloon,table,"[table,bin]","[table,bin]"
above,compsvo79,table,box,box (1),None,None
above,compsvo19,table,box,book,None,"[book,table]"
above,compsvu56,balloon,box,table,"[box,balloon]",None
above,compsvi14,bowl,ball,pencil,"[pencil,bowl]","[pencil,bowl]"
above,compsvu53,book,box,table,None,None
above,compsvu23,book,box,pear,None,None
above,compsvo67,table,box,balloon,"[balloon,table]*","[balloon,table]"
above,compsva25,bin,picture,table,"[table,bin]","[picture,bin]"
above,compsvu34,book (1),picture,table,None,None
above,compsva23,book,box,balloon,"[balloon,book]","[box,book]"
above,compsvo24v,board,jar,clock,None,None
above,compsvu25,book,book (1),cube,None,"[book (1),book]"
above,compsvu25,book,book (1),table,None,"[book (1),book]"
above,compsvu25,book,cube,table,None,None
above,compsva12,book,box,pear,None,"[pear,book]"
above,compsvi16,bowl,pear,pencil,None,"[pencil,bowl]"
above,compsvu16,balloon,book,table,None,None
above,compsva24,bin,picture,table,"[table,bin]",None
above,compsvo17,table,box,book,"[book,table]","[book,table]"
above,compsvi36,mug,pencil,pear,None,None
above,compsvo24,table,pear,book,"[pear,table]",None
above,compsva15,book,balloon,pear,"[balloon,book]*",None
above,compsvi25,box,pencil,pencil (1),None,None
above,compsvo69a,table,box,balloon,"[balloon,table]*","[balloon,table]"
above,compsvi12,table,pencil,cube,None,None
above,compsvi12,table,pencil,cup,"[pencil,table]","[cup,table]"
above,compsvu63,book,box,table,None,None
above,compsvi12,table,cube,cup,"[cube,table]","[cup,table]"
above,compsvi26,cup,cube,pencil,None,None
above,compsvo18,table,box,book,"[book,table]","[book,table]"
above,compsvo78,table,box,box (1),None,None
above,compsvi3,mug,pencil,pear,None,None
above,compsvu67,balloon,box,table,None,None
above,compsvu25a,balloon,box,table,None,None
above,compsvi24a,cup,pear,cube,None,"[pear,cup]"
above,compsvo12v,board,book,clock,"[book,board]","[book,board]"
above,compsvi34,mug,pencil (1),pencil,"[pencil,mug]","[pencil (1),mug]"
above,compsva14,box,book,table,"[table,box]","[book,box]"
above,compsvi45,mug,pencil,cup,None,None
above,compsvu17,table,box,box (1),"[box (1),table]",None
above,compsvula,lamp,pencil,bowl,None,None
above,compsvo89,table,box,box (1),None,None
above,compsva13,book,pear,balloon,"[balloon,book]",None
above,compsvo68,table,box,balloon,"[balloon,table]*","[balloon,table]"
above,compsvo34v,board,jar,book,None,None
above,compsvo28,table,box,book,"[book,table]","[book,table]"
above,compsvi14a,bowl,cube,pear,"[pear,bowl]",None
above,compsvo26,table,balloon,book,"[balloon,table]*","[balloon,table]"
above,compsvo27,table,box,book,None,"[book,table]"
above,compsvo14,table,book (1),book,"[book (1),table]","[book,table]"
above,compsvi23,table,box,box (1),None,"[box,table]"
above,compsvinew2,shelf,mug,box,None,None
above,compsvo68a,table,box,balloon,"[balloon,table]*","[balloon,table]"
above,compsvinew1,plate,cube,pencil,None,"[cube,plate]"
Number of significant pairs,109
