Preposition,Configuration 1,Configuration 2,Typicality Scores,Object-Specific Features,Better Category Member,More Typical Configuration
on top of,"[clock,board]","[mug,pencil]","[0.0606],[0.0342]","[Ground is larger than figure],[Ground is smaller than figure]","[mug,pencil]*","[mug,pencil]*"
on top of,"[clock,board]","[pear,bowl]","[0.0606],[0.0341]","[Ground is larger than figure],[Ground is convex container]","[pear,bowl]","[pear,bowl]"
on top of,"[mug,pencil]","[pear,bowl]","[0.0342],[0.0341]","[Ground is smaller than figure],[Ground is convex container]","[mug,pencil]*","[mug,pencil]*"
under,"[sink,tap]","[pencil,shelf]","[0.0729],[0.0665]","[Functional interaction],[]","[pencil,shelf]","[sink,tap]"
under,"[sink,tap]","[bin,table]","[0.0729],[0.0485]","[Functional interaction],[Intermediary object between figure and ground]","[bin,table]","[bin,table]*"
under,"[sink,tap]","[notepad,lamp]","[0.0729],[0.0439]","[Functional interaction],[Ground illuminates figure]","[notepad,lamp]","[sink,tap]"
under,"[pencil,shelf]","[bin,table]","[0.0665],[0.0485]","[],[Intermediary object between figure and ground]",None,"[bin,table]"
under,"[pencil,shelf]","[notepad,lamp]","[0.0665],[0.0439]","[],[Ground illuminates figure]",None,"[pencil,shelf]"
under,"[bin,table]","[notepad,lamp]","[0.0485],[0.0439]","[Intermediary object between figure and ground],[Ground illuminates figure]",None,"[bin,table]*"
below,"[sink,tap]","[pencil,shelf]","[0.0744],[0.0913]","[Functional interaction],[]","[pencil,shelf]","[pencil,shelf]*"
below,"[sink,tap]","[bin,table]","[0.0744],[0.09]","[Functional interaction],[Intermediary object between figure and ground]","[bin,table]",None
below,"[sink,tap]","[notepad,lamp]","[0.0744],[0.0608]","[Functional interaction],[Ground illuminates figure]","[notepad,lamp]",None
below,"[pencil,shelf]","[bin,table]","[0.0913],[0.09]","[],[Intermediary object between figure and ground]","[pencil,shelf]","[bin,table]"
below,"[pencil,shelf]","[notepad,lamp]","[0.0913],[0.0608]","[],[Ground illuminates figure]","[pencil,shelf]","[pencil,shelf]"
below,"[bin,table]","[notepad,lamp]","[0.09],[0.0608]","[Intermediary object between figure and ground],[Ground illuminates figure]","[notepad,lamp]","[bin,table]"
over,"[lid,pan]","[table,bin]","[0.0808],[0.0828]","[Figure is cover and ground is container],[Intermediary object between figure and ground]","[table,bin]*","[table,bin]"
over,"[lid,pan]","[tap,sink]","[0.0808],[0.0061]","[Figure is cover and ground is container],[Functional interaction]","[tap,sink]*","[tap,sink]*"
over,"[lid,pan]","[shelf,pencil]","[0.0808],[0.1019]","[Figure is cover and ground is container],[]","[shelf,pencil]","[shelf,pencil]"
over,"[table,bin]","[tap,sink]","[0.0828],[0.0061]","[Intermediary object between figure and ground],[Functional interaction]","[table,bin]",None
over,"[table,bin]","[shelf,pencil]","[0.0828],[0.1019]","[Intermediary object between figure and ground],[]","[table,bin]","[table,bin]*"
over,"[tap,sink]","[shelf,pencil]","[0.0061],[0.1019]","[Functional interaction],[]","[tap,sink]","[tap,sink]"
above,"[lid,pan]","[table,bin]","[0.2558],[0.2678]","[Figure is cover and ground is container],[Intermediary object between figure and ground]","[table,bin]*","[table,bin]"
above,"[lid,pan]","[tap,sink]","[0.2558],[0.0061]","[Figure is cover and ground is container],[Functional interaction]","[tap,sink]","[tap,sink]"
above,"[lid,pan]","[shelf,pencil]","[0.2558],[0.3283]","[Figure is cover and ground is container],[]","[shelf,pencil]","[shelf,pencil]"
above,"[table,bin]","[tap,sink]","[0.2678],[0.0061]","[Intermediary object between figure and ground],[Functional interaction]","[table,bin]","[table,bin]"
above,"[table,bin]","[shelf,pencil]","[0.2678],[0.3283]","[Intermediary object between figure and ground],[]","[table,bin]","[table,bin]"
above,"[tap,sink]","[shelf,pencil]","[0.0061],[0.3283]","[Functional interaction],[]","[tap,sink]","[tap,sink]"
Number of significant pairs,22
